seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F+R0,delta_auprc_vs_C+F+R0,brier_improvement_vs_C+F+R0,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,timing,delta_auroc_vs_cf_r0,delta_auroc
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,R5_RP192,C+F+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6804459691252144,0.476370751416177,0.6445969125214408,0.21929236634254295,-0.008336192109776985,0.0036321016258173966,-0.009374393131196618,-0.03495711835334481,-0.06300420232892323,-0.02629873815959488,T0-T3,-0.008336192109776985,-0.008336192109776985
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,S1,C+F+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6881989708404802,0.4820355876810225,0.6558319039451115,0.20970331955067203,-0.0005831903945111572,0.009296937890662882,0.00021465366067430214,-0.02720411663807898,-0.057339366064077746,-0.01670969136772396,T0-T3,-0.0005831903945111572,-0.0005831903945111572
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,S2,C+F+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6848027444253859,0.4615173075914737,0.6277015437392796,0.22968008306263232,-0.003979416809605452,-0.01122134219888593,-0.019762109851285986,-0.030600343053173273,-0.07785764615362656,-0.03668645487968425,T0-T3,-0.003979416809605452,-0.003979416809605452
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,S3,C+F+S3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6764322469982847,0.4577195161042304,0.6315608919382504,0.2151968671860872,-0.012349914236706616,-0.015019133686129227,-0.00527889397474085,-0.03897084048027444,-0.08165543764086985,-0.022203239003139114,T0-T3,-0.012349914236706616,-0.012349914236706616
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,S4,C+F+S4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6689536878216125,0.47004721184030573,0.6352487135506003,0.2235045074160924,-0.0198284734133789,-0.0026914379500538876,-0.013586534204746065,-0.04644939965694672,-0.06932774190479452,-0.030510879233144328,T0-T3,-0.0198284734133789,-0.0198284734133789
2026,LOCAL0,clinical_ftv_pcr,C_PLUS_F,T0-T3,late/pre-surgery,pCR,S5,C+F+S5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6397598627787308,0.4391188586914096,0.6047169811320754,0.2484576521675931,-0.049022298456260605,-0.033619791098950025,-0.03853967895624677,-0.07564322469982843,-0.10025609505369065,-0.05546402398464503,T0-T3,-0.049022298456260605,-0.049022298456260605
2026,LOCAL3,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,NONE,C+F,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6880274442538593,0.538897485664505,0.646483704974271,0.2356217123236572,0.07279588336192111,0.16247607095635475,0.0032617713897061806,0.0,0.0,0.0,T0,0.07279588336192111,0.07279588336192111
2026,LOCAL3,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R0,C+F+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6152315608919382,0.37642141470815027,0.6163807890222984,0.23888348371336338,0.0,0.0,0.0,-0.07279588336192111,-0.16247607095635475,-0.0032617713897061806,T0,0.0,0.0
2026,LOCAL3,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R1,C+F+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6252487135506003,0.41031552208272315,0.5913379073756433,0.22243726464532376,0.010017152658662098,0.03389410737457288,0.016446219068039614,-0.06277873070325901,-0.12858196358178187,0.013184447678333433,T0,0.010017152658662098,0.010017152658662098
2026,LOCAL3,clinical_ftv_pcr,C_PLUS_F,T0,,pCR,R2,C+F+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6460377358490565,0.45159675204372224,0.5959691252144083,0.21397515910578485,0.03080617495711835,0.07517533733557197,0.024908324607578525,-0.04198970840480276,-0.08730073362078278,0.021646553217872344,T0,0.03080617495711835,0.03080617495711835
