seed,arm,analysis,context,view,timing_label,target,variant,model,population,clinical_contract,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,timing,c_auroc,c_auprc,c_brier,delta_auroc_vs_C,delta_auprc_vs_C,brier_improvement_vs_C
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,R5_RP192,C+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6733790737564322,0.4545098855901501,0.6216981132075472,0.21742821690506822,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.023293310463121886,-0.08170270180983258,0.02566687763787248
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,S1,C+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6421612349914236,0.4128453618801522,0.6190394511149229,0.23614428195175252,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.054511149228130495,-0.12336722551983048,0.006950812591188182
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,S2,C+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6463464837049744,0.4120088654933983,0.6120926243567753,0.2384187766667583,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.05032590051457975,-0.12420372190658435,0.0046763178761824176
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,S3,C+S3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6412692967409949,0.41480856949326206,0.6289879931389365,0.24113879153010895,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.055403087478559265,-0.12140401790672062,0.001956303012831756
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,S4,C+S4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6545111492281304,0.421413767513673,0.6181818181818182,0.23136620237476646,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.04216123499142377,-0.11479881988630969,0.011728892168174243
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T2,,pCR,S5,C+S5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6537907375643225,0.41802215868813636,0.6423670668953687,0.24023205507502507,T0-T2,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.04288164665523164,-0.11819042871184632,0.0028630394679156346
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,NONE,C,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,0.0,0.0,0.0
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R0,C+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.630188679245283,0.4008446927526501,0.6066895368782161,0.2462266954897441,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06648370497427114,-0.13536789464733257,-0.003131600946803398
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R1,C+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.664802744425386,0.46968272788335375,0.6147512864493996,0.21645399193057657,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.031869639794168125,-0.06652985951662893,0.02664110261236413
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R2,C+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6067238421955403,0.3963359594243526,0.5939965694682676,0.23815035633347256,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08994854202401381,-0.13987662797563005,0.004944738209468141
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R3,C+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6322126929674099,0.4216863614844112,0.6177530017152659,0.2298638463902417,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06445969125214424,-0.11452622591557149,0.013231248152698993
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R4,C+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6132075471698113,0.4001315617777915,0.590566037735849,0.25146214341739087,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08346483704974283,-0.13608102562219115,-0.008367048874450167
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R5,C+R5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6034991423670669,0.4049679585108698,0.5840480274442539,0.2655030458506379,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.09317324185248721,-0.13124462888911287,-0.022407951307697183
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,R5_RP192,C+R5_RP192,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6334133790737563,0.4260922158235268,0.5862778730703259,0.2526144979700067,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06325900514579785,-0.11012037157645588,-0.009519403427065976
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,S1,C+S1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6850771869639793,0.45239759704585514,0.632590051457976,0.20891369496185364,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.011595197255574785,-0.08381499035412754,0.03418139958108707
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,S2,C+S2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6424699828473414,0.4037573079299287,0.5925385934819898,0.2547345787140596,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.05420240137221277,-0.13245527947005398,-0.011639484171118875
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,S3,C+S3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6339965694682677,0.4257844141626748,0.6222126929674099,0.22945658557519433,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06267581475128647,-0.11042817323730786,0.013638508967746377
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,S4,C+S4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6266895368782162,0.4124941587468435,0.606861063464837,0.24157597771691475,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06998284734133797,-0.1237184286531392,0.0015191168260259569
2026,LOCAL3,clinical_pcr,C_PLUS_R,T0-T3,late/pre-surgery,pCR,S5,C+S5,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6138250428816466,0.3976671423795778,0.5809605488850771,0.2569641587964572,T0-T3,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.0828473413379075,-0.1385454450204049,-0.013869064253516472
3026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,NONE,C,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,0.0,0.0,0.0
3026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R0,C+R0,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.614648370497427,0.3970911923973697,0.6014579759862779,0.24790310930074755,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.08202401372212709,-0.139121395002613,-0.004808014757806844
3026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R1,C+R1,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6299828473413379,0.4044194186881856,0.5710977701543739,0.21865623439013113,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.06668953687821622,-0.13179316871179708,0.024438860152809577
3026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R2,C+R2,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6226072041166381,0.4028817003563683,0.615180102915952,0.253192202248923,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.07406518010291607,-0.1333308870436144,-0.010097107705982322
3026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R3,C+R3,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6415780445969125,0.4019897557303458,0.6222126929674099,0.2376474947848058,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.05509433962264165,-0.1342228316696369,0.005447599758134913
3026,LOCAL0,clinical_pcr,C_PLUS_R,T0,,pCR,R4,C+R4,ftv_complete_375,C2_full_with_treatment,375,110,265,2,0.6192452830188679,0.3991597352773766,0.5892795883361921,0.2523819277270549,T0,0.6966723842195541,0.5362125873999827,0.2430950945429407,-0.07742710120068619,-0.1370528521226061,-0.009286833184114218
