seed,arm,view,target,model,clinical_contract,population,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,delta_auroc_vs_C+F,delta_auprc_vs_C+F,brier_improvement_vs_C+F,delta_auroc_vs_C+F+P1,delta_auprc_vs_C+F+P1,brier_improvement_vs_C+F+P1
3026,LOCAL3,T0,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6286106346483705,0.39307753462463846,0.6026586620926244,0.24046070635917927,-0.059416809605488785,-0.14581995103986656,-0.004838994035522071,-0.023567753001715097,-0.04301552362452449,-0.017526180295365013
3026,LOCAL3,T0-T1,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.00048027444253839757,0.01021505173753634,-0.045140466954625424,0.0015437392795883964,0.030740027563834982,-0.04289586299019282
3026,LOCAL3,T0-T1,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6971526586620925,0.5259975356624463,0.7015437392795884,0.19795462758831528,0.0,0.0,0.0,0.002024013722126794,0.02052497582629864,0.002244603964432601
3026,LOCAL3,T0-T1,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6951286449399657,0.5054725598361477,0.6471698113207547,0.20019923155274788,-0.002024013722126794,-0.02052497582629864,-0.002244603964432601,0.0,0.0,0.0
3026,LOCAL3,T0-T1,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6933447684391081,0.49089307035009566,0.6411663807890222,0.20776995556368272,-0.0038078902229844447,-0.035104465312350674,-0.009815327975367438,-0.0017838765008576507,-0.014579489486052033,-0.007570724010934837
3026,LOCAL3,T0-T1,pCR,C+F+P4,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6690222984562608,0.43765351596702334,0.5970840480274442,0.22604112749795408,-0.028130360205831706,-0.08834401969542299,-0.028086499909638796,-0.026106346483704912,-0.06781904386912435,-0.025841895945206195
3026,LOCAL3,T0-T2,pCR,C,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6966723842195541,0.5362125873999827,0.679073756432247,0.2430950945429407,-0.029433962264150848,-0.003788477761201392,-0.05435960064823231,-0.02305317324185241,0.03226738898865933,-0.041284840127297384
3026,LOCAL3,T0-T2,pCR,C+F,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.726106346483705,0.5400010651611841,0.6954545454545455,0.1887354938947084,0.0,0.0,0.0,0.006380789022298439,0.03605586674986072,0.013074760520934925
3026,LOCAL3,T0-T2,pCR,C+F+P1,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.7197255574614065,0.5039451984113233,0.6188679245283019,0.20181025441564332,-0.006380789022298439,-0.03605586674986072,-0.013074760520934925,0.0,0.0,0.0
3026,LOCAL3,T0-T2,pCR,C+F+P3,C2_full_with_treatment,ftv_complete_375,375,110,265,2,0.6922469982847341,0.44880310336587814,0.6454545454545455,0.22119024779703467,-0.03385934819897085,-0.09119796179530593,-0.03245475390232627,-0.027478559176672412,-0.055142095045445205,-0.019379993381391347
