arm,both_seed_pass,candidate_both_seed_gt_0_20,comparison,diagnostic_type,evidence_scope,input_variant,interval,maximum_exclusions_from_375,minimum_seed_delta_spearman,n_max,n_min,oracle_representation,patient_set_sha256,rank_metric,reference_both_seed_gt_0_20,seed_2026_candidate_spearman,seed_2026_delta_spearman,seed_2026_reference_spearman,seed_3026_candidate_spearman,seed_3026_delta_spearman,seed_3026_reference_spearman,spearman_gain_threshold,target,target_kind,task_type,threshold_operator,timing
LOCAL3,False,True,,oracle_localization,raw_only,current,,0,-0.0264305381727159,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.2690171805666173,-0.0075514848105586,0.276568665377176,0.2977512800091023,-0.0264305381727159,0.3241818181818182,0.1,BPE,raw,static,>=,T0
LOCAL0,False,True,,oracle_localization,raw_only,current,,0,0.0190779383320058,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.346213448628968,0.0190779383320058,0.3271355102969621,0.3665340766867676,0.0219972693139152,0.3445368073728524,0.1,BPE,raw,static,>=,T1
LOCAL3,False,True,,oracle_localization,raw_only,current,,0,0.0318784844692228,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.377757651609967,0.0318784844692228,0.3458791671407442,0.3663138013425873,0.036224826487655,0.3300889748549323,0.1,BPE,raw,static,>=,T1
LOCAL0,False,True,,oracle_localization,raw_only,current,,1,-0.0346248799300368,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.4111914667890066,-0.0346248799300368,0.4458163467190434,0.3973600951957678,-0.0020952244412265,0.3994553196369944,0.1,BPE,raw,static,>=,T2
LOCAL3,False,True,,oracle_localization,raw_only,current,,1,-0.0358805465154621,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.4230574472050579,-0.0358805465154621,0.4589379937205201,0.3939039153560522,-0.0159366890797265,0.4098406044357787,0.1,BPE,raw,static,>=,T2
LOCAL0,False,True,,oracle_localization,raw_only,current,,1,-0.0168661706621949,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.3988167966203994,-0.0052736173585738,0.4040904139789733,0.3642634776306621,-0.0168661706621949,0.381129648292857,0.1,BPE,raw,static,>=,T3
LOCAL3,False,True,,oracle_localization,raw_only,current,,1,-0.0272569631419112,374,374,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.3965637531364536,-0.0163546366600367,0.4129183897964903,0.3570985607887719,-0.0272569631419112,0.3843555239306832,0.1,BPE,raw,static,>=,T3
LOCAL0,False,False,,oracle_localization,raw_only,difference,T0->T1,0,-0.026113201131234,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.1277047046673401,-0.026113201131234,0.1538179057985742,0.0670070383221909,-0.0198253546840609,0.0868323930062519,0.1,LD,raw,dynamic,>=,
LOCAL3,False,False,,oracle_localization,raw_only,difference,T0->T1,0,-0.0116634204380102,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.1049454999863732,-0.0116634204380102,0.1166089204243834,0.1007524634380002,-0.0080822100613522,0.1088346734993524,0.1,LD,raw,dynamic,>=,
LOCAL0,False,False,,oracle_localization,raw_only,difference,T1->T2,6,0.011821488299946,369,369,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.0226506824157229,0.0381135744457804,-0.0154628920300575,0.0345771203055769,0.011821488299946,0.0227556320056308,0.1,LD,raw,dynamic,>=,
LOCAL3,False,False,,oracle_localization,raw_only,difference,T1->T2,6,0.003503664872661,369,369,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.0375524471629091,0.0508099617785848,-0.0132575146156757,0.0192540015035837,0.003503664872661,0.0157503366309227,0.1,LD,raw,dynamic,>=,
LOCAL0,False,False,,oracle_localization,raw_only,difference,T2->T3,64,-0.0028184761639872,311,311,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.0232919078611645,0.0139326591544998,0.0093592487066647,0.0774734246876662,-0.0028184761639872,0.0802919008516534,0.1,LD,raw,dynamic,>=,
LOCAL3,False,False,,oracle_localization,raw_only,difference,T2->T3,64,-0.0332906444403607,311,311,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,False,0.0297976097746683,0.0234628521279364,0.0063347576467318,0.0830039627065482,-0.0332906444403607,0.1162946071469089,0.1,LD,raw,dynamic,>=,
LOCAL0,False,True,,oracle_localization,raw_only,current,,0,0.0042532757806675,375,375,Z5,64a7599a7903e2e013ae6ae5d50018019eee35ac408d7312f36e0c47536d29b6,spearman,True,0.4376359003238769,0.0042532757806675,0.4333826245432093,0.4366834943369187,0.015035677021163,0.4216478173157556,0.1,LD,raw,static,>=,T0
