seed,arm,representation,matched_reference_for,task_type,target_definition,target_kind,target,timing,interval,input_variant,metric_space,feature_dim,fold,n,spearman,pearson,natural_r2,transformed_r2,rmse,mae,prediction_target_variance_ratio,calibration_slope,calibration_intercept,residual_spearman,residual_pearson,residual_transformed_r2,residual_rmse,residual_mae,reconstructed_natural_r2,reconstructed_natural_rmse,reconstructed_natural_mae,reconstructed_prediction_target_variance_ratio,reconstructed_calibration_slope,reconstructed_calibration_intercept,natural_spearman,natural_pearson,transformed_spearman,transformed_pearson,natural_metric_interpretation
2026,LOCAL3,Z1,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,3,72,0.3541156134473359,0.4770389767628229,0.04967223048238956,0.11866578047696652,2.2539210378177783,1.4915184005965112,0.021709871386309993,3.237615268292949,-6.306992822390649,,,,,,,,,,,,0.3541156134473359,0.4770389767628229,0.35421498861951406,0.4362810661135942,raw_target
2026,LOCAL3,Z1,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,4,84,0.2778405308977245,0.2594644622514476,0.03265657195519134,0.04556920155092903,2.1727437776954703,1.5626363417736278,0.1801126770489841,0.6113722778751659,1.4912114533149752,,,,,,,,,,,,0.2778405308977245,0.2594644622514476,0.2778405308977245,0.28738635762874254,raw_target
2026,LOCAL3,Z2,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,0,69,0.3114080276173243,0.2830977887603507,0.06394905182615795,0.020583637303196678,1.6903924855420795,1.2687979014796136,0.16441065849690656,0.6981865733845278,0.998011289192839,,,,,,,,,,,,0.3114080276173243,0.2830977887603507,0.3114080276173243,0.27235922495214965,raw_target
2026,LOCAL3,Z2,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,1,67,0.2813676522369146,0.3291260368364083,0.0929807496450209,0.02249491727714581,1.6556821345582198,1.2200676580861327,0.13763358275751583,0.8871560787593249,0.5707109243140303,,,,,,,,,,,,0.2813676522369146,0.3291260368364083,0.2813676522369146,0.2317343879129627,raw_target
2026,LOCAL3,Z2,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,2,83,0.41645233991437297,0.4033962723855583,-0.011044612671682996,0.06809685795751097,2.105550942317445,1.4312513004011749,0.042388190674082143,1.959338359740827,-2.246808497248724,,,,,,,,,,,,0.41645233991437297,0.4033962723855583,0.41574703753591563,0.3808221455917814,raw_target
2026,LOCAL3,Z2,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,3,72,0.18923596042981153,0.23349212706761008,-0.02587015994045072,0.023655754162987264,2.3417912878390332,1.5862438073603264,0.07342566519270743,0.8616845313021639,1.0714872718969164,,,,,,,,,,,,0.18923596042981153,0.23349212706761008,0.18891573309832654,0.23155663160351164,raw_target
2026,LOCAL3,Z2,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,192,4,84,0.34763235455595437,0.3226046480120242,0.09462158413185451,0.10133157755386624,2.1020025594220972,1.5012502916634316,0.1348927807351819,0.8783675167041506,0.5977593666929724,,,,,,,,,,,,0.34763235455595437,0.3226046480120242,0.34763235455595437,0.34052663741087047,raw_target
2026,LOCAL3,Z3,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,128,0,69,0.2355252803512212,0.17943679701076454,-0.02937038634443412,-0.04728612049390657,1.772652651742856,1.3131928930527228,0.18093702796504973,0.4218400231742837,1.9691029995752336,,,,,,,,,,,,0.2355252803512212,0.17943679701076454,0.2355252803512212,0.18360914582239324,raw_target
2026,LOCAL3,Z3,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,128,1,67,0.255712544515036,0.323374639628716,0.08419962466874409,0.015302833620220113,1.6636774072869998,1.2406746195241678,0.12142745357769541,0.9279990121683948,0.47610378865423764,,,,,,,,,,,,0.255712544515036,0.323374639628716,0.255712544515036,0.20322556358951205,raw_target
2026,LOCAL3,Z3,,static,goal6_workbook_endpoint,raw,LD,T1,,current,natural_target,128,2,83,0.33227982461549216,0.35552370859678883,-0.05430651415335519,0.036459812942538306,2.1501266323120376,1.4406908340475821,0.02613880025398168,2.1990025985675756,-2.9484841587245367,,,,,,,,,,,,0.33227982461549216,0.35552370859678883,0.3320557895777107,0.35897208909693834,raw_target
