n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
67.0,20.0,47.0,0.41702127659574467,0.28339486862297136,0.24571367559535137,-44.47713175757705,0.1899562531928899,3026,1,T0,ftv_complete_375,C3,F,0.001,0.5267857142857143
67.0,20.0,47.0,0.6936170212765957,0.43469757943575066,0.24128487639909965,12.904098918633558,0.18646997245055996,3026,1,T0,ftv_complete_375,C3,C_PLUS_F,0.001,0.6874999999999999
67.0,20.0,47.0,0.6553191489361702,0.4366953969371062,0.242083048084995,8.60604057890584,0.1866827279698183,3026,1,T0,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.001,0.7073412698412698
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,3026,1,T0_T1,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6787234042553192,0.4444745520772066,0.2092824538175049,1.644153929377889,0.16253725638901115,3026,1,T0_T1,ftv_complete_375,C3,C_PLUS_M,0.01,0.7331349206349207
67.0,20.0,47.0,0.725531914893617,0.5412142678790525,0.19282071488822766,2.553727889153829,0.10203635698178506,3026,1,T0_T1,ftv_complete_375,C3,F,0.1,0.6180555555555556
67.0,20.0,47.0,0.7276595744680852,0.6659310230953213,0.17014567183662527,0.4664083968690409,0.1466244559596309,3026,1,T0_T1,ftv_complete_375,C3,C_PLUS_F,10.0,0.7331349206349206
67.0,20.0,47.0,0.727659574468085,0.6285669242089273,0.17428149298000262,0.500864461746038,0.08656152454323306,3026,1,T0_T1,ftv_complete_375,C3,C_PLUS_F_PLUS_M,1.0,0.7688492063492064
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,3026,1,T0_T2,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.651063829787234,0.42675911806009487,0.24092445044665386,8.773113211130203,0.19811457427711174,3026,1,T0_T2,ftv_complete_375,C3,C_PLUS_M,0.001,0.7251984126984127
67.0,20.0,47.0,0.7563829787234043,0.5458804328279717,0.17900254597009135,1.5284082019956076,0.10307471869204837,3026,1,T0_T2,ftv_complete_375,C3,F,1.0,0.6686507936507937
67.0,20.0,47.0,0.7297872340425532,0.6321511435905094,0.1747090461444503,0.560637384449604,0.08544141514714232,3026,1,T0_T2,ftv_complete_375,C3,C_PLUS_F,1.0,0.7757936507936508
67.0,20.0,47.0,0.6882978723404255,0.5904124590328463,0.18368462327736146,0.7130557878318801,0.1059970520152705,3026,1,T0_T2,ftv_complete_375,C3,C_PLUS_F_PLUS_M,0.1,0.7777777777777778
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711982,2.3415560610379336,0.13868230089267755,3026,1,T0_T3,ftv_complete_375,C3,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.698936170212766,0.43946583867922756,0.24086226734793348,11.684563522163796,0.18585851348008264,3026,1,T0_T3,ftv_complete_375,C3,C_PLUS_M,0.001,0.7222222222222222
67.0,20.0,47.0,0.7138297872340426,0.5252261929678913,0.19227472217818078,1.4539064000505553,0.12412776933773625,3026,1,T0_T3,ftv_complete_375,C3,F,0.1,0.6349206349206349
67.0,20.0,47.0,0.7191489361702127,0.6231081757636228,0.17741449657249297,0.8515372265704063,0.08558257591050941,3026,1,T0_T3,ftv_complete_375,C3,C_PLUS_F,0.1,0.7519841269841271
