n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,seed,fold,timing,population,arm,model,selected_c,validation_auroc
67.0,20.0,47.0,0.5436170212765957,0.322785751390666,0.2439257590609708,1.2223944053185671,0.1865204476197418,3026,1,T0,ftv_complete_375,C0,C_PLUS_M,0.001,0.7063492063492064
67.0,20.0,47.0,0.4170212765957446,0.2833948686229713,0.2457136755953513,-44.47713175757704,0.18995625319289,3026,1,T0,ftv_complete_375,C0,F,0.001,0.5267857142857143
67.0,20.0,47.0,0.6936170212765957,0.4346975794357506,0.2412848763990996,12.904098918633542,0.18646997245056,3026,1,T0,ftv_complete_375,C0,C_PLUS_F,0.001,0.6874999999999999
67.0,20.0,47.0,0.5202127659574468,0.3141043475385763,0.2442695756822126,0.7224754793987529,0.1868775367247764,3026,1,T0,ftv_complete_375,C0,C_PLUS_F_PLUS_M,0.001,0.7063492063492063
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,3026,1,T0_T1,ftv_complete_375,C0,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.6244680851063831,0.4572539336364805,0.2076666549701564,0.1821658999354669,0.1209619094919896,3026,1,T0_T1,ftv_complete_375,C0,C_PLUS_M,10.0,0.7251984126984128
67.0,20.0,47.0,0.725531914893617,0.5412142678790525,0.1928207148882276,2.553727889153828,0.102036356981785,3026,1,T0_T1,ftv_complete_375,C0,F,0.1,0.6180555555555556
67.0,20.0,47.0,0.7276595744680852,0.6659310230953213,0.1701456718366252,0.4664083968690483,0.1466244559596308,3026,1,T0_T1,ftv_complete_375,C0,C_PLUS_F,10.0,0.7331349206349206
67.0,20.0,47.0,0.7585106382978724,0.684462397749398,0.1697736655491612,0.6623078267268809,0.1189251839278932,3026,1,T0_T1,ftv_complete_375,C0,C_PLUS_F_PLUS_M,1.0,0.7529761904761905
67.0,20.0,47.0,0.7159574468085106,0.4465769803452942,0.2062013303711981,2.341556061037932,0.1386823008926775,3026,1,T0_T2,ftv_complete_375,C0,C,0.01,0.6825396825396824
67.0,20.0,47.0,0.676595744680851,0.4753320800422044,0.1965306969730619,0.5808932607501635,0.1004480824066953,3026,1,T0_T2,ftv_complete_375,C0,C_PLUS_M,0.1,0.7658730158730158
67.0,20.0,47.0,0.7563829787234043,0.5458804328279717,0.1790025459700913,1.5284082019956071,0.1030747186920484,3026,1,T0_T2,ftv_complete_375,C0,F,1.0,0.6686507936507937
67.0,20.0,47.0,0.7297872340425532,0.6321511435905094,0.1747090461444502,0.5606373844496044,0.0854414151471423,3026,1,T0_T2,ftv_complete_375,C0,C_PLUS_F,1.0,0.7757936507936508
67.0,20.0,47.0,0.7063829787234043,0.587636731263376,0.1841631657952534,0.486354646095103,0.0782169274479435,3026,1,T0_T2,ftv_complete_375,C0,C_PLUS_F_PLUS_M,1.0,0.8253968253968254
