seed_base,fold,arm,task,endpoint,selected_alpha,validation_score,n_train,n_val,n_test,target_transform,model,selected_c,validation_auroc,population,timing
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F,1.0,0.8657894736842104,ftv_complete_375,T0-T2
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F+M,0.1,0.85,ftv_complete_375,T0-T2
2026,0,A0_LOCAL3,,,,,525,121,162,,M,0.01,0.7160940325497287,full_808,T0-T3_late
2026,0,A0_LOCAL3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0-T3_late
2026,0,A0_LOCAL3,,,,,525,121,162,,C+M,0.01,0.7745629897528632,full_808,T0-T3_late
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F,0.1,0.8473684210526315,ftv_complete_375,T0-T3_late
2026,0,A0_LOCAL3,,,,,247,59,69,,C+F+M,100.0,0.8565789473684211,ftv_complete_375,T0-T3_late
2026,0,A1_PATCH3,,,,,525,121,162,,M,0.01,0.5204942736588305,full_808,T0
2026,0,A1_PATCH3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0
2026,0,A1_PATCH3,,,,,525,121,162,,C+M,0.01,0.6748040988547317,full_808,T0
2026,0,A1_PATCH3,,,,,247,59,69,,C+F,0.0001,0.8473684210526317,ftv_complete_375,T0
2026,0,A1_PATCH3,,,,,247,59,69,,C+F+M,0.01,0.6631578947368422,ftv_complete_375,T0
2026,0,A1_PATCH3,,,,,525,121,162,,M,0.01,0.5608800482218204,full_808,T0-T1
2026,0,A1_PATCH3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0-T1
2026,0,A1_PATCH3,,,,,525,121,162,,C+M,0.01,0.6760096443640748,full_808,T0-T1
2026,0,A1_PATCH3,,,,,247,59,69,,C+F,10.0,0.8447368421052631,ftv_complete_375,T0-T1
2026,0,A1_PATCH3,,,,,247,59,69,,C+F+M,0.1,0.6842105263157894,ftv_complete_375,T0-T1
2026,0,A1_PATCH3,,,,,525,121,162,,M,0.001,0.6151295961422544,full_808,T0-T2
2026,0,A1_PATCH3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0-T2
2026,0,A1_PATCH3,,,,,525,121,162,,C+M,0.01,0.6940928270042194,full_808,T0-T2
2026,0,A1_PATCH3,,,,,247,59,69,,C+F,1.0,0.8657894736842104,ftv_complete_375,T0-T2
2026,0,A1_PATCH3,,,,,247,59,69,,C+F+M,0.1,0.7013157894736842,ftv_complete_375,T0-T2
2026,0,A1_PATCH3,,,,,525,121,162,,M,0.01,0.6262808921036769,full_808,T0-T3_late
2026,0,A1_PATCH3,,,,,525,121,162,,C,0.0001,0.7399035563592526,full_808,T0-T3_late
2026,0,A1_PATCH3,,,,,525,121,162,,C+M,0.01,0.7046413502109704,full_808,T0-T3_late
2026,0,A1_PATCH3,,,,,247,59,69,,C+F,0.1,0.8473684210526315,ftv_complete_375,T0-T3_late
2026,0,A1_PATCH3,,,,,247,59,69,,C+F+M,0.01,0.6618421052631579,ftv_complete_375,T0-T3_late
2026,1,A0_LOCAL3,,,,,525,121,162,,M,0.001,0.6301829268292684,full_808,T0
2026,1,A0_LOCAL3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0
2026,1,A0_LOCAL3,,,,,525,121,162,,C+M,0.01,0.7512195121951221,full_808,T0
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F,0.0001,0.6448412698412698,ftv_complete_375,T0
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F+M,0.01,0.6726190476190476,ftv_complete_375,T0
2026,1,A0_LOCAL3,,,,,525,121,162,,M,0.0001,0.6795731707317074,full_808,T0-T1
2026,1,A0_LOCAL3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0-T1
2026,1,A0_LOCAL3,,,,,525,121,162,,C+M,0.01,0.7765243902439024,full_808,T0-T1
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F,10.0,0.6904761904761905,ftv_complete_375,T0-T1
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F+M,0.01,0.7172619047619048,ftv_complete_375,T0-T1
2026,1,A0_LOCAL3,,,,,525,121,162,,M,0.001,0.675609756097561,full_808,T0-T2
2026,1,A0_LOCAL3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0-T2
2026,1,A0_LOCAL3,,,,,525,121,162,,C+M,0.01,0.7823170731707317,full_808,T0-T2
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F,10.0,0.7222222222222222,ftv_complete_375,T0-T2
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F+M,1.0,0.7341269841269842,ftv_complete_375,T0-T2
2026,1,A0_LOCAL3,,,,,525,121,162,,M,0.001,0.6868902439024391,full_808,T0-T3_late
2026,1,A0_LOCAL3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0-T3_late
2026,1,A0_LOCAL3,,,,,525,121,162,,C+M,0.01,0.7826219512195122,full_808,T0-T3_late
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F,0.01,0.7103174603174602,ftv_complete_375,T0-T3_late
2026,1,A0_LOCAL3,,,,,239,69,67,,C+F+M,0.1,0.7113095238095238,ftv_complete_375,T0-T3_late
2026,1,A1_PATCH3,,,,,525,121,162,,M,10.0,0.6655487804878049,full_808,T0
2026,1,A1_PATCH3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0
2026,1,A1_PATCH3,,,,,525,121,162,,C+M,0.01,0.739939024390244,full_808,T0
2026,1,A1_PATCH3,,,,,239,69,67,,C+F,0.0001,0.6448412698412698,ftv_complete_375,T0
2026,1,A1_PATCH3,,,,,239,69,67,,C+F+M,100.0,0.7162698412698413,ftv_complete_375,T0
2026,1,A1_PATCH3,,,,,525,121,162,,M,0.001,0.6667682926829269,full_808,T0-T1
2026,1,A1_PATCH3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0-T1
2026,1,A1_PATCH3,,,,,525,121,162,,C+M,0.001,0.725609756097561,full_808,T0-T1
2026,1,A1_PATCH3,,,,,239,69,67,,C+F,10.0,0.6904761904761905,ftv_complete_375,T0-T1
2026,1,A1_PATCH3,,,,,239,69,67,,C+F+M,0.001,0.6865079365079365,ftv_complete_375,T0-T1
2026,1,A1_PATCH3,,,,,525,121,162,,M,0.0001,0.6301829268292682,full_808,T0-T2
2026,1,A1_PATCH3,,,,,525,121,162,,C,0.01,0.7317073170731707,full_808,T0-T2
