effect,seed_base,reference,comparison,improvement,ci_lower,ci_upper,n_patients,n_bootstrap,n_valid_bootstrap,bootstrap_unit,timing,metric,confidence_level,n_folds,metric_aggregation,ci_method,orientation,seed
E4_A1_CplusM_minus_C,3026,0.6796145318096538,0.6407982261640799,-0.03881630564557392,-0.08298000303578261,0.005027618281280868,808,2000,2000,patient_within_outer_fold,T0-T2,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.5424197284072237,0.4580857009991767,-0.08433402740804702,-0.13658626300258545,-0.025666202150247702,808,2000,2000,patient_within_outer_fold,T0-T2,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.22583924073987818,0.2392537729312475,-0.013414532191369316,-0.030053971606694933,0.0025688027892035578,808,2000,2000,patient_within_outer_fold,T0-T2,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.726106346483705,0.5796912521440823,-0.14641509433962263,-0.21348719133099572,-0.07896493427404991,375,2000,2000,patient_within_outer_fold,T0-T2,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.5400010651611841,0.37197278280399126,-0.1680282823571928,-0.24716140400154965,-0.08349685452577153,375,2000,2000,patient_within_outer_fold,T0-T2,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.18873526813061456,0.25675265160516847,-0.06801738347455391,-0.093664286933131,-0.042474779956946936,375,2000,2000,patient_within_outer_fold,T0-T2,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E3_A1_minus_A0_MRI,3026,0.5483881971686849,0.5371379839672523,-0.011250213201432602,-0.06157752162087303,0.03677226244907175,808,2000,2000,patient_within_outer_fold,T0-T3_late,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.3768765074933672,0.3754376826126764,-0.0014388248806908033,-0.05064991450028144,0.04644444683991883,808,2000,2000,patient_within_outer_fold,T0-T3_late,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E3_A1_minus_A0_MRI,3026,0.2665047586668217,0.2589109574356945,0.00759380123112724,-0.012117023884813354,0.0255727810206207,808,2000,2000,patient_within_outer_fold,T0-T3_late,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E4_A1_CplusM_minus_C,3026,0.6796145318096538,0.6536994712604468,-0.025915060549207003,-0.07099252812611653,0.01677204714763571,808,2000,2000,patient_within_outer_fold,T0-T3_late,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.5424197284072237,0.4967846040134136,-0.04563512439381012,-0.10243955242776319,0.009665327830114152,808,2000,2000,patient_within_outer_fold,T0-T3_late,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E4_A1_CplusM_minus_C,3026,0.22583924073987818,0.22034893115739887,0.0054903095824793136,-0.006929043032629834,0.01727716384168013,808,2000,2000,patient_within_outer_fold,T0-T3_late,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.7154030874785592,0.5867924528301887,-0.12861063464837053,-0.19991217227735247,-0.056332692874630885,375,2000,2000,patient_within_outer_fold,T0-T3_late,auroc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.5393749537451002,0.373084453067804,-0.16629050067729623,-0.2525369343381647,-0.07677088466402779,375,2000,2000,patient_within_outer_fold,T0-T3_late,auprc,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E5_A1_CplusFplusM_minus_CplusF,3026,0.1929939430982393,0.2568338618382082,-0.06383991873996891,-0.08886595051083472,-0.03884327692445934,375,2000,2000,patient_within_outer_fold,T0-T3_late,brier,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E6_actual_minus_shuffle_cosine,2026,0.3900815374128381,0.39083901839440427,0.0007574809815661943,0.00036947186613163084,0.001120978654047301,808,2000,2000,patient_within_outer_fold,,mean,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E6_actual_minus_shuffle_normalized_mse,2026,1.2172544037193973,1.2157335426075169,0.0015208611118804338,0.0007402053380907773,0.0022508577050755316,808,2000,2000,patient_within_outer_fold,,mean,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
E6_actual_minus_shuffle_cosine,3026,0.4084701375201468,0.4092283151532575,0.0007581776331107015,0.0004139181317346448,0.0011390820464544718,808,2000,2000,patient_within_outer_fold,,mean,0.95,5.0,pooled_patients_not_fold_replicates,percentile,comparison - reference,260812.0
E6_actual_minus_shuffle_normalized_mse,3026,1.1813422342264548,1.17982466827013,0.0015175659563246846,0.0008272935762195344,0.0022813121959452728,808,2000,2000,patient_within_outer_fold,,mean,0.95,5.0,pooled_patients_not_fold_replicates,percentile,reference - comparison (lower is better),260812.0
