task_type,model,run_name,encoder_stream,representation,representation_role,input_variant,target_name,timepoint,transition,probe_type,feature_dim,metric,estimate,ci_low,ci_high,bootstrap_replicates,valid_replicates,bootstrap_unit,ci_method,seed
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,shrinkage_balanced_accuracy,0.5889462941701747,0.5463518108820804,0.6298077244588142,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,rmse_gain_over_b0,0.09322889249092804,0.05582821839792994,0.12854313711533835,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,mask_geometry,mask_geometry,observed_difference,sphericity,,T2→T3,single_output_ridge,9,rmse_gain_over_zero_change,0.1252730330565722,0.08040844495294577,0.16954930932359605,2000,2000,patient within fold,percentile,1916955467
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,mae,0.5675470298908482,0.5156960424084236,0.6201722645175475,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,rmse,0.7744216311365014,0.6875965541134605,0.8597658795845948,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,r2,0.11442639627040274,0.01568449341793956,0.19015458839154567,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,spearman,0.4355240819483467,0.3506809387656646,0.5140448998013312,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,pearson,0.33891678578988305,0.21237997555376292,0.4552166957437604,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,predicted_to_target_variance_ratio,0.12310173251551498,0.09382099400914988,0.16260589908139222,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,fold_centered_variance_ratio,0.1314902993287359,0.10175865998021091,0.1723176714638372,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,sign_accuracy,0.8629032258064516,0.8279569892473119,0.8978494623655914,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,shrinkage_accuracy,0.8629032258064516,0.8279569892473119,0.8978494623655914,2000,2000,patient within fold,percentile,4250347070
change,m0,m0_final,input_baseline,raw_roi_intensity,raw_roi_intensity,observed_difference,ftv,,T0→T1,single_output_ridge,14,shrinkage_balanced_accuracy,0.5029459901800327,0.48765336543974314,0.5281427855233002,2000,2000,patient within fold,percentile,4250347070
