model,task,target,timepoint,transition,representation,metric,estimate,ci_low,ci_high,bootstrap_replicates,finite_replicates,bootstrap_unit
G0,static,ld,T2,,response_state,mae,1.6006470862764661,1.451102389762135,1.7620059188102517,2000,2000,patient_within_outer_fold
G0,static,ld,T2,,response_state,rmse,2.251622164652028,1.995411503158715,2.503188783359521,2000,2000,patient_within_outer_fold
G0,static,ld,T2,,response_state,prediction_target_variance_ratio,0.10294981794236575,0.07175390947499308,0.14276605341329063,2000,2000,patient_within_outer_fold
G0,static,ld,T2,,response_state,rmse_gain_over_b0,0.06646477482605055,0.0361867627203268,0.09420308786117784,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,spearman,0.17251115153666552,0.07227179716297945,0.2693631086691847,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,pearson,0.2150723381149313,0.04888553202774449,0.33980759097644314,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,r2,-0.2263522043711339,-0.35224887700565216,-0.11448974962534564,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,mae,1.369027553200933,1.2359914590836125,1.5154845106753745,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,rmse,1.9719443161432508,1.7555164529289253,2.1910067861955627,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,prediction_target_variance_ratio,0.13405724024822108,0.06371467974137786,0.2581682523904356,2000,2000,patient_within_outer_fold
G0,static,ld,T3,,response_state,rmse_gain_over_b0,0.038444343733065114,0.0018148014644779416,0.07530899142976027,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,spearman,0.42480942086699286,0.34114838862998725,0.5057500837385981,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,pearson,0.39251577434100005,0.3144739846892661,0.4705955306808432,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,r2,0.1419257652717011,0.06270079625762233,0.21642639920576257,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,mae,0.06732219053100118,0.061896608659792685,0.0729348070613496,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,rmse,0.08733663448891915,0.07926140051537857,0.09564591198789157,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,prediction_target_variance_ratio,0.251386016347489,0.20360673450972264,0.31499519782593394,2000,2000,patient_within_outer_fold
G0,static,sphericity,T0,,response_state,rmse_gain_over_b0,0.07701126527696518,0.035971839373201815,0.11958908719060363,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,spearman,0.2265980202525885,0.1240727994153855,0.32173178660438306,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,pearson,0.21048009969861883,0.10535207440589199,0.30779093701237015,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,r2,0.038282153728594004,-0.023969264564690472,0.09199491188264985,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,mae,0.0717498634029706,0.06679187444856308,0.0772842062543558,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,rmse,0.0895954771652626,0.08269531412122183,0.09717070143170575,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,prediction_target_variance_ratio,0.08280411681946807,0.0646672079925401,0.10564045872757538,2000,2000,patient_within_outer_fold
G0,static,sphericity,T1,,response_state,rmse_gain_over_b0,0.020504085534390978,-0.009219301111370655,0.04909605057606395,2000,2000,patient_within_outer_fold
G0,static,sphericity,T2,,response_state,spearman,0.1961276595744681,0.09457538306076138,0.28701384795983664,2000,2000,patient_within_outer_fold
G0,static,sphericity,T2,,response_state,pearson,0.17210504339060476,0.07831029355211841,0.2645209520504685,2000,2000,patient_within_outer_fold
G0,static,sphericity,T2,,response_state,r2,0.02910066395155919,-0.008246782561144184,0.06368906592444777,2000,2000,patient_within_outer_fold
G0,static,sphericity,T2,,response_state,mae,0.08996054444397256,0.08224298898598952,0.09755182051418486,2000,2000,patient_within_outer_fold
