model,task,target,timepoint,transition,representation,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G1,static,sphericity,T1,,response_state,375,375,5,0.2715621799977244,0.26289632724209605,0.06106915047685002,0.07115234050617233,0.0885276739623706,0.09147100650659057,0.03217776491841595,0.008369204191322312,0.0010213237875574075,0.12203356068386725
G1,static,sphericity,T2,,response_state,375,375,5,0.20494823074297416,0.181108290679988,0.03259596593205749,0.0905108488375903,0.11943582774480817,0.12208066269256974,0.021664650972791206,0.014784989450696916,0.0004471042999134966,0.030240420624204203
G1,static,sphericity,T3,,response_state,375,375,5,0.10794948230742973,0.0764927361193382,-0.007798815508145207,0.1148712242787518,0.14189832257377855,0.14161215403104124,-0.0020207908332117806,0.02003273956580448,0.0007346023419785599,0.036670088959400875
G2,change,ftv,,T0→T1,response_state,375,375,5,0.3051564455569462,0.2806732432591711,0.07843190559356139,0.5795816958332358,0.7868743426757958,0.825048957340101,0.04626951446296884,0.6736634796504758,0.05919262788844542,0.08786676089248148
G2,change,ftv,,T1→T2,response_state,375,375,5,0.2230333371259529,0.20134860510037839,0.026130597501108133,0.8596747384674301,1.1038550953099162,1.1219912655742514,0.016164270454505608,1.2545358537735374,0.12860627623621132,0.10251303368442963
G2,change,ftv,,T2→T3,response_state,375,375,5,0.2038887245420412,0.20396551691494738,0.03546871655621198,0.8883549388275406,1.2170388729147936,1.2415461637217322,0.01973933110426928,1.5397572143942888,0.1224868659397415,0.079549467146303
G2,change,ld,,T0→T1,response_state,375,375,5,0.0704680986438255,0.04026819303767426,-0.029831025800875377,0.304912005938186,0.5887421325207974,0.5822633677113744,-0.011126863149382422,0.33747680359088883,0.01585883295149977,0.046992364461069365
G2,change,ld,,T1→T2,response_state,375,375,5,0.1757129391267314,0.16505889217373565,0.01630786131989881,0.9630195295892375,1.3344142217960469,1.351418655859226,0.012582654523418469,1.8150215617650214,0.13031858883080175,0.07180002242181253
G2,change,ld,,T2→T3,response_state,375,375,5,0.16976982064970375,0.13596987339727734,0.01739653776584349,0.9837289061856682,1.3164362506050638,1.328475342683335,0.00906233762228048,1.7684021788052813,0.048999408182136155,0.027708294396719062
G2,change,sphericity,,T0→T1,response_state,375,375,5,-0.028168392308567526,-0.057617905103315145,-0.062052762504962056,0.05215251503840828,0.072337819241224,0.07090939853803443,-0.0201443071389667,0.004940198467491306,0.0001933375618051965,0.03913558596429744
G2,change,sphericity,,T1→T2,response_state,375,375,5,0.03946319262714758,0.04547738306721211,-0.05304656025314314,0.07789198568857453,0.10940076039949695,0.10717154951027219,-0.02080039804790816,0.011396008720189683,0.0008948745612087012,0.07852526118405834
G2,change,sphericity,,T2→T3,response_state,375,375,5,0.02081784048242121,-0.011746076390368902,-0.03710734140298788,0.08939287251179856,0.12967155365097535,0.1276291601039124,-0.016002561996021045,0.016256437762729836,0.000533996541142496,0.0328483120925027
G2,static,ftv,T0,,response_state,375,375,5,0.7266182728410515,0.5196723738748832,0.1421981136339261,16.464952818698602,39.51707707992429,44.60035130440287,0.11397386064931661,1825.333804041963,1375.6457339735655,0.753640638729956
G2,static,ftv,T1,,response_state,375,375,5,0.6010153601092274,0.35694890677751884,0.09394700195989325,12.083901758093319,35.8656662253615,39.040935299528144,0.08133178802724585,1423.5209688874065,136.39706405616184,0.09581668766197864
G2,static,ftv,T2,,response_state,375,375,5,0.5174144953919673,0.16746808076908057,-0.00923192362697467,7.686738041583805,31.246180377318836,31.89590142522411,0.020370048152690164,969.9795028937233,12.207656785871244,0.012585479125540642
G2,static,ftv,T3,,response_state,375,375,5,0.4335401316156642,0.4025136117917228,0.07765050704814636,3.105230848566595,11.917114629636615,12.7102476994274,0.06240107105281013,154.38545631958928,4.629621908852707,0.029987422515169098
G2,static,ld,T0,,response_state,375,375,5,0.3542584924541405,0.3593274047535205,0.10089301810454676,1.4336635658438588,2.0401009068208626,2.1969467589818237,0.07139265051359339,4.641427736185383,0.5670306123811557,0.12216728226973907
G2,static,ld,T1,,response_state,375,375,5,0.19446563268025005,0.11122551704940596,-0.08824852786416737,1.440575232614392,2.1437860781929565,2.140487048495622,-0.0015412518845433602,4.234425240641712,0.3014550795254604,0.07119149882069378
G2,static,ld,T2,,response_state,375,375,5,0.3385731888473706,0.2719694817176986,-0.1310540827533233,1.519488010222864,2.2714212938411373,2.4119305880851725,0.05825594440326959,4.573742174688057,0.8740795597782092,0.19110818371344335
G2,static,ld,T3,,response_state,375,375,5,0.3203938008704203,0.29237917153502435,-0.1698120930580591,1.3146067600706843,1.9259503738630164,2.0507854155826677,0.06087182050891623,3.179316352228164,0.23169892099979056,0.07287696326205749
G2,static,sphericity,T0,,response_state,375,375,5,0.6547684605757197,0.5776354974786839,0.3308549566052439,0.05839878323235631,0.07712481836238219,0.09462372746632344,0.18493151318911114,0.00891307803133714,0.0026554794470399668,0.29793068541570833
G2,static,sphericity,T1,,response_state,375,375,5,0.4703995903970873,0.41511779602937465,0.15108706537838001,0.06457756210851126,0.08417707381067788,0.09147100650659057,0.0797403786672792,0.008369204191322312,0.002585914758563138,0.3089797667076122
G2,static,sphericity,T2,,response_state,375,375,5,0.30912094663784273,0.2717997336921578,0.07221762993791148,0.08822287659094585,0.11696441003043105,0.12208066269256974,0.04190878841330279,0.014784989450696916,0.001434128007148746,0.09699891987959085
G2,static,sphericity,T3,,response_state,375,375,5,0.3173969734895893,0.29546819100706573,0.08146009268204468,0.10590374177057901,0.13546882207891178,0.14161215403104124,0.043381389077542375,0.02003273956580448,0.0025462033632591575,0.12710210477679648
G3,change,ftv,,T0→T1,response_state,375,375,5,0.5034336101945613,0.4147361292992196,0.16750721860214013,0.5477809745168558,0.7478799796379881,0.825048957340101,0.09353260435707976,0.6736634796504758,0.15615785598529144,0.23180395064062628
G3,change,ftv,,T1→T2,response_state,375,375,5,0.3271204915234953,0.336336997431419,0.11034279727291929,0.8438176014737434,1.05505003361608,1.1219912655742514,0.05966288153224614,1.2545358537735374,0.18772622681152337,0.14963799260647578
G3,change,ftv,,T2→T3,response_state,375,375,5,0.2662302878598248,0.3386380705630653,0.11406567753308527,0.8586371447871513,1.166398774487505,1.2415461637217322,0.0605272614342111,1.5397572143942888,0.2032182908142321,0.1319807362579394
G3,change,ld,,T0→T1,response_state,375,375,5,0.13633500228882187,0.08919934283508914,-0.0028575370487817775,0.28865918225739035,0.580980762427432,0.5822633677113744,0.0022027923360244768,0.33747680359088883,0.012585782709386217,0.03729377123247711
G3,change,ld,,T1→T2,response_state,375,375,5,0.05686499680696642,0.07953097736755074,-0.0030108822366754495,0.962191918171657,1.3474538016582747,1.351418655859226,0.0029338459875193506,1.8150215617650214,0.05472023343187497,0.030148530785861393
G3,change,ld,,T2→T3,response_state,375,375,5,0.22149958010249945,0.12453199485228961,0.008895906642902962,0.9863783483372371,1.322118319117928,1.328475342683335,0.004785202525902065,1.7684021788052813,0.07369641913184444,0.041674015116647936
