model,task,target,timepoint,transition,representation,fold,n,n_patients,n_folds,spearman,pearson,r2,mae,rmse,b0_rmse,rmse_gain_over_b0,target_variance,prediction_variance,prediction_target_variance_ratio
G2,static,ld,T0,,response_state,2,83,83,1,0.46034539593583135,0.48744538863688885,0.14171079445957024,1.3900578847062708,1.967702940055838,2.219742300442864,0.11354442375438868,4.566144578313253,0.753978448388563,0.1651236476325252
G2,static,ld,T1,,response_state,2,83,83,1,-0.0051242748834648,-0.029212185735907257,-0.24710146686831203,1.5568907255765907,2.3384683087169793,2.3004341817351612,-0.016533455850986294,4.438389656185719,0.16730139819854067,0.03769416638878814
G2,static,ld,T2,,response_state,2,83,83,1,0.46592014880977584,0.282763266217214,-0.06738742442350731,1.6279279486775522,2.742669899537898,2.9173502943926564,0.05987638686739321,7.133279459300618,0.7589490107197702,0.10639552467417017
G2,static,ld,T3,,response_state,2,83,83,1,0.31110671268342954,0.35250566239446773,-0.07741022967512934,1.3769440441135261,2.0166748111032713,2.224568865785433,0.09345363853627428,3.820805171907141,0.5095473248050487,0.13336124242909514
G2,static,sphericity,T0,,response_state,2,83,83,1,0.5844003190462197,0.5192775285130242,0.2606122344928876,0.05320351757079384,0.06487635165725496,0.07547010818517934,0.14037023111098124,0.005761888080833325,0.001960010713499994,0.3401681334317975
G2,static,sphericity,T1,,response_state,2,83,83,1,0.559149489945846,0.5412842556132086,0.27727584969469954,0.051262899373739554,0.06679283083103883,0.07906346411906039,0.15519979328939354,0.00624814893707224,0.001991709143715224,0.3187678724970503
G2,static,sphericity,T2,,response_state,2,83,83,1,0.5158683514545989,0.4421419653900546,0.19352736673952198,0.08266785004107864,0.11402927525265517,0.12698440374655587,0.1020214145333739,0.016319518216320772,0.0038322820289767483,0.23482813513110773
G2,static,sphericity,T3,,response_state,2,83,83,1,0.4391083497754082,0.43811523537153774,0.16946691022018956,0.09430108805100776,0.1221183661189005,0.1340032422687045,0.08869095962597928,0.01817478449282748,0.0015775026325714385,0.08679622216120286
G3,change,ftv,,T0→T1,response_state,2,83,83,1,0.5415389782125015,0.4582000988954127,0.15121103692690363,0.5131567203455092,0.6787246699625601,0.7601236907867567,0.1070865463224091,0.5493533614498459,0.2134420165661709,0.3885331947416461
G3,change,ftv,,T1→T2,response_state,2,83,83,1,0.3823307165946014,0.45253819390865746,0.18722417794491397,0.8496558820094523,1.0976913411362763,1.2184404171729222,0.09910133834595955,1.5005619879951004,0.15860045468423797,0.1056940372694259
G3,change,ftv,,T2→T3,response_state,2,83,83,1,0.2961042777381302,0.41615283391810004,0.15265209791459255,0.9289289502926731,1.2216705955644451,1.3446595880675725,0.09146477933487716,1.7828332427576514,0.20119270788036367,0.11284998678236599
G3,change,ld,,T0→T1,response_state,2,83,83,1,0.14527586485872762,0.16645521974030114,-0.01596228000523614,0.24185847311401915,0.3514530299571518,0.3595757852842013,0.022589828513144946,0.1230612266099327,0.011180636483006637,0.09085425841273233
G3,change,ld,,T1→T2,response_state,2,83,83,1,0.27730607375129157,0.12348286259216994,-0.007756829148568345,0.8337711466606381,1.1713051397734648,1.1824065273057922,0.009388807720490824,1.377998002829351,0.035778487161419084,0.025964106688077568
G3,change,ld,,T2→T3,response_state,2,83,83,1,0.2732302824080491,0.23919777852790436,0.02334486296283611,0.8252218056109014,1.0298135550335412,1.0515416062858507,0.020663044735866526,1.099107595776249,0.03212083652570592,0.029224469605289603
G3,change,sphericity,,T0→T1,response_state,2,83,83,1,0.09271231266529531,0.037150625569135017,-0.050780724060507154,0.045808031909989486,0.06276472266218654,0.06154377411795904,-0.01983870118019317,0.003794751759271841,0.0002087187004717398,0.05500193786372733
G3,change,sphericity,,T1→T2,response_state,2,83,83,1,0.05816296545065279,0.12966439311915004,0.005053376825906453,0.06933792436403147,0.10497564706970851,0.10568482436889971,0.006710303995167515,0.011210928382875112,0.0002707763475782038,0.02415289245731151
G3,change,sphericity,,T2→T3,response_state,2,83,83,1,0.09399269552075898,0.026884939433791135,-0.012372568344034995,0.09573347623642905,0.13828127584608846,0.13743371011027342,-0.006167087646364029,0.01911835963896818,0.0003772446379432236,0.019732060964806893
G3,static,ftv,T0,,response_state,2,83,83,1,0.7585533772721548,0.5855221615088302,0.19224987010378036,16.825218634206383,37.4519743544174,44.382000757426226,0.15614497509667263,1757.6671584101086,188.25456219586852,0.10710478448385728
G3,static,ftv,T1,,response_state,2,83,83,1,0.7475966584106459,0.37342533493486363,-0.015578854215239524,17.273891811991277,50.69447331110712,53.08702422778185,0.045068469206504334,2561.3670653618387,36.349294261140294,0.014191364741392624
G3,static,ftv,T2,,response_state,2,83,83,1,0.6966332227866168,0.24025059192820014,-0.03796714719422778,13.298850493094658,47.85636348986976,48.971605967989944,0.022773246988247845,2233.366620034884,15.085686535777507,0.006754684340872739
G3,static,ftv,T3,,response_state,2,83,83,1,0.41721590193526714,0.7069886075889029,0.0008335489811959196,5.958887113657164,21.167645314126226,21.92283072852445,0.03444744083233873,453.9118245194413,1.0568892975925055,0.002328402214926741
G3,static,ld,T0,,response_state,2,83,83,1,0.45126135880831914,0.45285677054022017,0.0816688558441856,1.3755080984540575,2.0353652984602664,2.219742300442864,0.08306234554606286,4.566144578313253,0.4824971919891153,0.10566840005038806
G3,static,ld,T1,,response_state,2,83,83,1,0.37419807325235993,0.2554322958233027,-0.10104594609875561,1.4060327311537304,2.197269436150172,2.3004341817351612,0.044845771465269524,4.438389656185719,0.3155385683272752,0.07109302985318419
G3,static,ld,T2,,response_state,2,83,83,1,0.4543973698110699,0.401618692256591,0.02564926685224822,1.636864431798739,2.6204154867262894,2.9173502943926564,0.10178236334426333,7.133279459300618,0.8872340817477817,0.12437954895920629
G3,static,ld,T3,,response_state,2,83,83,1,0.2964502433083198,0.3681099756055352,-0.2427569040752724,1.4614478840911673,2.1659000870673872,2.224568865785433,0.02637310070296756,3.820805171907141,0.05757996870005187,0.015070113787380329
