target,model,spatial,timing,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,positive,n_folds,ece_bin_contract,auroc,auprc,brier,calibration_slope,calibration_intercept,ece_10bin
pCR,LOCAL0_mri_only_paired,LOCAL,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5028302549994846,0.32662952369854714,0.29131673868679275,0.8487323713731996,-1.3485704655349418,0.25205372171785145
pCR,LOCAL0_mri_only_paired,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.49710120068610636,0.3120527038899898,0.271378766293703,-0.06925756163846189,-0.8821771405241519,0.23507976966891372
pCR,LOCAL0_mri_only_paired,LOCAL,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5011347683054783,0.362637131255685,0.2725064697924745,0.017285775882495164,-0.8575982656660288,0.26319825717819895
pCR,LOCAL0_mri_only_paired,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.5300514579759863,0.3168057332972809,0.33745252681028926,1.497830113710668,-3.7477700199327573,0.31280236436283154
pCR,LOCAL0_mri_only_paired,LOCAL,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.5340871870682494,0.34612650347743973,0.33619243211940797,2.334457444125742,-2.12001945913216,0.32514915290129154
pCR,clinical_ftv,TABULAR,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.6796397941680961,0.48453658821068,0.23420306813845543,0.6741355180273685,-0.8996990684170767,0.1988427739598877
pCR,clinical_ftv,TABULAR,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.7178215140482814,0.5784175275319309,0.23402303424555315,6.7344448473012335,-0.9931130824359347,0.2030170047654436
pCR,clinical_ftv,TABULAR,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.7247341337907376,0.5506750319989909,0.21502450481039986,0.5237909058989095,-0.8519584736885367,0.18173562703075097
pCR,clinical_ftv,TABULAR,T0-T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.7349661670535246,0.6043630866380539,0.2155576216596935,1.5072534024459021,-0.8391430418731287,0.1950739875973157
pCR,clinical_ftv,TABULAR,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,110,5,"10_equal_width_bins_[0,1]",0.772967409948542,0.5781705841259126,0.194945476386185,0.5275523341874083,-0.8051410462992563,0.1533321398115709
pCR,clinical_ftv,TABULAR,T0-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,110,5,"10_equal_width_bins_[0,1]",0.7743277239738294,0.6196005301800692,0.19491493222464554,0.5621747197666205,-0.7816739118122152,0.18400832569423464
pCR,clinical_only,NONE,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,808,275,5,"10_equal_width_bins_[0,1]",0.709155722326454,0.5575141168308745,0.22379953897415064,1.0713067537795604,-0.6813085533981919,0.14774835200551747
pCR,clinical_only,NONE,T0,full_808,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,808,275,5,"10_equal_width_bins_[0,1]",0.727695131530434,0.5958435474091536,0.2238022162007272,3.436084514541623,-0.7241778129963852,0.15303448353540647
