target,model,spatial,task,endpoint,analysis_population,split_seed,fold_manifest_sha256,aggregation,n,n_folds,spearman,pearson,r2,rmse,mae,b0_rmse,rmse_gain_over_b0,calibration_slope,calibration_intercept,calibration_mean_bias
FTV,LOCAL0,LOCAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.3543204005006258,0.38688499316491387,0.14772625705312314,15.872640035109706,9.030576463611524,17.219808801872187,0.0782336657893677,0.1328880090754121,-7.588749253038089,-0.14376335687953432
FTV,LOCAL0,LOCAL,delta,T1-T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.3613058893647523,0.3884750976755275,0.13813391971617553,15.289743263269028,8.969472544343912,16.60517378340784,0.07838411480329686,0.1486073413949214,-7.460618215632293,-0.20175090604739437
FTV,LOCAL0,LOCAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.17119763340539312,0.08872275573944659,-0.011989469714698942,27.553355742213412,9.720616193076891,27.537956917151757,-0.0005591854583832497,0.02027621015070265,-5.7879101499521814,-0.48524904974943234
FTV,LOCAL0,LOCAL,delta,T2-T3,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.16478590902203874,0.1724964096724777,-0.39178277998342204,23.501148737183602,9.69811205687256,22.944585785259125,-0.08241079586184144,0.09015186505172595,-5.664851611833273,-0.5990074605215413
FTV,LOCAL0,LOCAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.7593696666287406,0.6125138593671228,0.30181553936188665,35.651384895021884,15.50255975690874,42.77656700591202,0.16656741317986987,0.2581592340247668,13.018138537740423,-8.191806249800916
FTV,LOCAL0,LOCAL,static,T0,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.7668998324254568,0.6645058824009451,0.3289991925352009,34.24039392381909,15.38657267818328,41.82120336681659,0.19287855820746297,0.2800719523062979,12.577884969065924,-8.125263702138414
FTV,LOCAL0,LOCAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.5526244168847423,0.35935978841522126,0.09381835101693148,35.86821242741038,11.812448591069746,37.95576601319648,0.054999643138813274,0.10241808553154735,9.260648509533056,-6.5035666891903166
FTV,LOCAL0,LOCAL,static,T1,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.5589069978305824,0.5311278454110016,0.24603422804373185,30.23840149361565,11.621695046907766,33.934864367476976,0.17664190378370254,0.26500692763066025,7.364043273187505,-6.311247472870079
FTV,LOCAL0,LOCAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,pooled_oof,375,5,0.40549404969245995,0.2132135554492339,0.0018085353711106977,31.074802117231222,7.971825267474452,31.345565059981617,0.008637998461098834,0.021211459100172813,3.335407782015742,-5.451202048087525
FTV,LOCAL0,LOCAL,static,T2,radiomics_complete_case_375,2026,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,outer_fold_macro,375,5,0.40596028329454714,0.2493244079003098,-0.004878797729745754,25.140960211103053,7.863982306687559,25.99578169892136,0.07749352433638933,0.04287310205055398,3.2312769066796143,-5.311332635745059
