kind,seed_base,model,fold,cells,test_once,source_feature_sha256,source_checkpoint_sha256
pcr_selection,5026,G3,4,3,True,926ae686581065774578cf66a6f7c476fea812fb4de5fec6e981d2e1bfc76cb0,ef98004005f7e4b6bbd2e88a2114a2cad925be4e6c66d5c656f1267142b71fb1
probe_selection,6026,G1,0,7,True,f783cd285823553940ab90ac0cefc23fdfb0d33e51dde8b053e82a61fbc84981,cbc67b1bf26c0670d92cec2300d2599d49c5d86dcaef136b6b652fa15984a54d
pcr_selection,6026,G1,0,3,True,f783cd285823553940ab90ac0cefc23fdfb0d33e51dde8b053e82a61fbc84981,cbc67b1bf26c0670d92cec2300d2599d49c5d86dcaef136b6b652fa15984a54d
probe_selection,6026,G1,1,7,True,ecc450c1cf8ff3ca981ed43ac15d41cbbe95bc8ebf38fd9c5ccbab345b8830e7,3df57edae13e3e0fb33a4f20121ede9565db962a0a67b90b1cf75514a0a5419f
pcr_selection,6026,G1,1,3,True,ecc450c1cf8ff3ca981ed43ac15d41cbbe95bc8ebf38fd9c5ccbab345b8830e7,3df57edae13e3e0fb33a4f20121ede9565db962a0a67b90b1cf75514a0a5419f
probe_selection,6026,G1,2,7,True,b9a8e25ff666be18a478e7256ee3e6e5165fb2d9e9a1b8dd6ffe393cd3ac144f,ccc9c6f213a92e443c62e303c46777d9927304ad78edd840204cd5704f47f1b8
pcr_selection,6026,G1,2,3,True,b9a8e25ff666be18a478e7256ee3e6e5165fb2d9e9a1b8dd6ffe393cd3ac144f,ccc9c6f213a92e443c62e303c46777d9927304ad78edd840204cd5704f47f1b8
probe_selection,6026,G1,3,7,True,322e28adf0a14f43487a75fa765d0a92bfbb27e67ba76a04fd30431f4f314ec0,9f6816af6067c5dc15f84af7d138c1acb7f65b3aafa4a4e6d3e4301b0ceb179e
pcr_selection,6026,G1,3,3,True,322e28adf0a14f43487a75fa765d0a92bfbb27e67ba76a04fd30431f4f314ec0,9f6816af6067c5dc15f84af7d138c1acb7f65b3aafa4a4e6d3e4301b0ceb179e
probe_selection,6026,G1,4,7,True,1418b3aacae9e5daeda2de4dcddd6c74ac8ab06a7dca6179892d4469d1db880a,7512855d16486fd0bc04bc027ed81845a8a462d87a064f1ade0da14bee4a41ea
pcr_selection,6026,G1,4,3,True,1418b3aacae9e5daeda2de4dcddd6c74ac8ab06a7dca6179892d4469d1db880a,7512855d16486fd0bc04bc027ed81845a8a462d87a064f1ade0da14bee4a41ea
probe_selection,6026,G3,0,7,True,b0a5cfddad717504e4a16ecaea6fff71e0a8503ff653c5520f86a26facd13f98,e348e585b8be1dc026ad911e2b5120979fdd40cdc9bd86a16fad75e14650a365
pcr_selection,6026,G3,0,3,True,b0a5cfddad717504e4a16ecaea6fff71e0a8503ff653c5520f86a26facd13f98,e348e585b8be1dc026ad911e2b5120979fdd40cdc9bd86a16fad75e14650a365
probe_selection,6026,G3,1,7,True,1f3f7bc63f17e4c4926ee26341fc56617bcf0d46e73fb831b0ed3ca38715ef58,2bca1f8e6b0eb01a909a026d14036bb50cfcae591a96ab35ce5d2db1a33a55ac
pcr_selection,6026,G3,1,3,True,1f3f7bc63f17e4c4926ee26341fc56617bcf0d46e73fb831b0ed3ca38715ef58,2bca1f8e6b0eb01a909a026d14036bb50cfcae591a96ab35ce5d2db1a33a55ac
probe_selection,6026,G3,2,7,True,a3276919aafe39c433f3fb2e5cb0137d5c26fb3d866c508e2eb726ea40ef499e,c1a27b3a500a63149d4f4bc1a68f167886d79eba864821ef9a7848de6fdc5faf
pcr_selection,6026,G3,2,3,True,a3276919aafe39c433f3fb2e5cb0137d5c26fb3d866c508e2eb726ea40ef499e,c1a27b3a500a63149d4f4bc1a68f167886d79eba864821ef9a7848de6fdc5faf
probe_selection,6026,G3,3,7,True,33aadff39e250129bc2c1dcf9b1f6f912fa26c68d7f5c7daf94e1e8ad3f029a4,e5b2f8d206a768be3f20dd0391d080e5778d0fa157ff7ef8d30c19a361f3d662
pcr_selection,6026,G3,3,3,True,33aadff39e250129bc2c1dcf9b1f6f912fa26c68d7f5c7daf94e1e8ad3f029a4,e5b2f8d206a768be3f20dd0391d080e5778d0fa157ff7ef8d30c19a361f3d662
probe_selection,6026,G3,4,7,True,c328a6355122677280a422344701aa5cd7b26209b25c0edefb3798b3b04b137e,e95e2f705d547fdad3edbe69d15710a26041b50d47d24be19d8ad00e0c0a43f0
pcr_selection,6026,G3,4,3,True,c328a6355122677280a422344701aa5cd7b26209b25c0edefb3798b3b04b137e,e95e2f705d547fdad3edbe69d15710a26041b50d47d24be19d8ad00e0c0a43f0
