protocol,population,view,timing,timing_label,feature_set,model_type,target,n,n_positive,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,FULL,rbf_svm,subtype,384,,0.5724978714620899,0.3116796432006933,0.27048260381593714,0.6614295779366025
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,N,logistic,HER2,384,90.0,0.550302343159486,0.27892941755019945,0.5327664399092971,0.1782668489987762
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,N,logistic,HR,384,222.0,0.518601935268602,0.5936900495739007,0.5339506172839505,0.24485691523912753
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,N,logistic,subtype,384,,0.5205853902946652,0.2761741869830704,0.243195847362514,0.6734506301723329
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,N,rbf_svm,HER2,384,90.0,0.44860166288737713,0.21633419938904325,0.4751700680272109,0.18366643783005254
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,N,rbf_svm,HR,384,222.0,0.5045879212545878,0.593402745402244,0.5129295962629297,0.2442045819551987
primary_stratified_384,clinical_radiomics_complete_384,static,T1,T1,N,rbf_svm,subtype,384,,0.48367771363887185,0.2596632603214519,0.2593153759820427,0.6763562281288523
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,FULL,logistic,HER2,384,90.0,0.6338624338624338,0.3678344679349269,0.601360544217687,0.17164984067918024
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,FULL,logistic,HR,384,222.0,0.5587253920587254,0.6280037424290406,0.5255255255255256,0.2414716601822607
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,FULL,logistic,subtype,384,,0.5769965229004776,0.3020029761319636,0.25617283950617287,0.6682388863373055
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,FULL,rbf_svm,HER2,384,90.0,0.5365079365079365,0.26894045174771386,0.5467120181405896,0.17916190557614628
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,FULL,rbf_svm,HR,384,222.0,0.4995551106662218,0.5683744612312185,0.5177677677677678,0.2455844844603123
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,FULL,rbf_svm,subtype,384,,0.49683489145588955,0.2665920754805887,0.25631313131313127,0.6764864764798402
primary_stratified_384,clinical_radiomics_complete_384,static,T2,T2,N,logistic,HER2,384,90.0,0.6100151171579743,0.33726975217253424,0.5753968253968254,0.17447334781858004
