protocol,population,scenario,view,timing,timing_label,model_type,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,C+FULL,384,113,271,0.7320314796068315,0.5384927683785099,0.6528916174117494,0.17885084398728632
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,C+N,384,113,271,0.7333703425529832,0.5642646372945813,0.6739378898213761,0.17624379282662309
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,F,384,113,271,0.4644548215393658,0.2794871665333931,0.46073212944518827,0.20859357241764345
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,FULL,384,113,271,0.4640629592136629,0.2829713608719764,0.5042451751951148,0.20865971962760232
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T0,T0,rbf_svm,N,384,113,271,0.5118375077556085,0.3021546020949326,0.5064983835679064,0.20822432939683974
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,C+F,384,113,271,0.7273944420860139,0.553238455759911,0.7108219312281618,0.18610597695695605
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,C+FULL,384,113,271,0.7860431701662149,0.6347521573185103,0.7182020050288999,0.16042997877828538
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,C+N,384,113,271,0.7321621003820659,0.5721670737097051,0.6588348626849101,0.1768371680969962
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,F,384,113,271,0.6549978774124023,0.4228869045342609,0.6407275577180551,0.20279512717619522
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,FULL,384,113,271,0.6989517682787447,0.4852255504844848,0.6779708062567351,0.18893322302103266
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,logistic,N,384,113,271,0.6331515527544657,0.4450571165405801,0.6425725761682395,0.19797381474046682
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,C,384,113,271,0.7080625673513372,0.5262909378074971,0.6263919276360905,0.18321838917943892
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,C+F,384,113,271,0.7866636188485778,0.6227148436750497,0.7082258433203801,0.16078669946226729
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,C+FULL,384,113,271,0.7802632008620971,0.5981528852229933,0.6997518205270549,0.1659073158815709
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,C+N,384,113,271,0.7263984586748523,0.5312672232545798,0.6462462854717044,0.1801063264592712
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,F,384,113,271,0.5746334454494988,0.37101954805593845,0.6111746073212945,0.20627180144910398
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,FULL,384,113,271,0.6718153022238187,0.4428382039295329,0.6325964144597198,0.19625116740264711
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T1,T1,rbf_svm,N,384,113,271,0.6317473794206969,0.40530218001981255,0.5916468014237665,0.20214036927922904
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T2,T2,logistic,C,384,113,271,0.7019887013029422,0.537629741038823,0.6510139437677562,0.18366981207093533
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T2,T2,logistic,C+F,384,113,271,0.7702707115566731,0.6036662256541608,0.7226104561930575,0.17130928539892273
primary_stratified_384,clinical_radiomics_complete_384,train_median_indicator,longitudinal,T2,T2,logistic,C+FULL,384,113,271,0.8088038402507919,0.6431429771872803,0.7144956405316265,0.15493606307688926
