stage,seed_base,arm,pooling,target_name,endpoint,availability,status_reason,feature_dim,aggregation,n_test,spearman,pearson,natural_r2,rmse,mae,standardized_scale,standardized_fold_count,standardized_spearman_fold_mean,standardized_r2_fold_mean,standardized_r2_fold_sd
final,3026,L1,PLOCAL,max_resample_factor,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.7014060623592601,0.6590047822329512,0.4187583951483865,0.2273556625914346,0.17143127023289642,standardized_outer_train,5.0,0.702304635697788,0.41681192187533467,0.05974731492638105
final,3026,L1,PLOCAL,native_spacing_x_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7800420036456704,0.8029611361437025,0.6410115298180008,0.08951258850709905,0.05760460098887557,standardized_outer_train,5.0,0.779948386041458,0.6488402591455097,0.07776819809460345
final,3026,L1,PLOCAL,native_spacing_x_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7295364607324129,0.7608954982994615,0.5743022319673925,0.09643532481954752,0.06460737360953454,standardized_outer_train,5.0,0.7247605708113533,0.5763233927071424,0.08195410080455502
final,3026,L1,PLOCAL,native_spacing_x_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7176859152857393,0.7392588245688632,0.5430652380074561,0.09946036720137426,0.06382152013181464,standardized_outer_train,5.0,0.7181380914605894,0.5460802074160924,0.10786036170582454
final,3026,L1,PLOCAL,native_spacing_x_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7015050160535817,0.7187982595137224,0.50748211123399,0.10265122193262553,0.07012881193514085,standardized_outer_train,5.0,0.698059194772833,0.518079679105602,0.09625518543611407
final,3026,L1,PLOCAL,native_spacing_x_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.7321923489293511,0.7554784296314374,0.5664652777567099,0.09701487561516159,0.0640405766663414,standardized_outer_train,5.0,0.7302265607715585,0.5723308845935866,0.07248683319527326
final,3026,L1,PLOCAL,native_spacing_y_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7799733412949227,0.8029611365973527,0.6410115296189531,0.08951258832620197,0.05760460050010884,standardized_outer_train,5.0,0.7799130374262836,0.648840258964785,0.07776820155500928
final,3026,L1,PLOCAL,native_spacing_y_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7294517416137122,0.76089555665539,0.5743023218245079,0.09643531461670013,0.06460736612842895,standardized_outer_train,5.0,0.7246635325696691,0.576323495175558,0.08195403777047133
final,3026,L1,PLOCAL,native_spacing_y_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7177816384608968,0.7392588278449366,0.5430652454288747,0.0994603662978512,0.06382151790035717,standardized_outer_train,5.0,0.7182330701204361,0.5460802072829541,0.10786035450661412
final,3026,L1,PLOCAL,native_spacing_y_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.7015773230986645,0.7187982157074712,0.5074820583466026,0.1026512272423273,0.07012882528656826,standardized_outer_train,5.0,0.6980970360575015,0.5180796420565419,0.09625525867802444
final,3026,L1,PLOCAL,native_spacing_y_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.7321960111170491,0.7554784342012876,0.5664652888047346,0.09701487412077014,0.06404057745386581,standardized_outer_train,5.0,0.7302266690434726,0.5723309008699597,0.07248683965743959
final,3026,L1,PLOCAL,native_spacing_z_mm,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.8568058811821926,0.8464906768824721,0.7091614064368799,0.2935938671770005,0.23018859286544488,standardized_outer_train,5.0,0.8554861464542188,0.7101027000228409,0.06936188519638334
final,3026,L1,PLOCAL,native_spacing_z_mm,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.8308287281410981,0.8219156091516957,0.6585589243998473,0.31827837623103206,0.24141656481431636,standardized_outer_train,5.0,0.8274702018228473,0.659326640953848,0.11557947781852396
final,3026,L1,PLOCAL,native_spacing_z_mm,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.8426577761123633,0.8310128030170749,0.6819055036760033,0.3061825532520294,0.23819942093048763,standardized_outer_train,5.0,0.8435491063102682,0.6823869644601537,0.1065198143446998
final,3026,L1,PLOCAL,native_spacing_z_mm,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.8413297009488288,0.8248032176625828,0.6610931481868476,0.3177330168931345,0.24068668438285684,standardized_outer_train,5.0,0.841360521958037,0.6612686715553722,0.09869998482847854
final,3026,L1,PLOCAL,native_spacing_z_mm,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.8429055215961206,0.8310555766784564,0.6776797456748946,0.30894695338829914,0.23762281574827643,standardized_outer_train,5.0,0.8419664941363427,0.6782712442480536,0.09201890218151487
final,3026,L1,PLOCAL,padding_fraction,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4694167631073542,0.447819090211231,0.17309564368582764,0.08315342849858237,0.06377877144294995,standardized_outer_train,5.0,0.4728379543087393,0.176150663556279,0.10557725127517366
final,3026,L1,PLOCAL,padding_fraction,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4071789347786995,0.40911124382560665,0.16592273795802848,0.09790960796251448,0.07542016986568574,standardized_outer_train,5.0,0.40842218815244263,0.1661444851233565,0.08529386713471562
final,3026,L1,PLOCAL,padding_fraction,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.36117770915835007,0.3624506020823543,0.127916625490203,0.10088887450832046,0.07805654192461367,standardized_outer_train,5.0,0.36823307341746525,0.1256436954816153,0.051237787141858386
final,3026,L1,PLOCAL,padding_fraction,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.38310157632619996,0.3855587889681917,0.14634120107199122,0.1004661947062409,0.0779319613605993,standardized_outer_train,5.0,0.3866733729554611,0.14129926580497731,0.0674318493375626
final,3026,L1,PLOCAL,padding_fraction,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.40521874584265094,0.40123493127184595,0.15331905205151258,0.09560452641891455,0.07379686114846216,standardized_outer_train,5.0,0.4090416472085271,0.15230952749155705,0.06527777667241674
final,3026,L1,PLOCAL,resize_anisotropy,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.23887612871220226,0.40459737258507794,0.15109114299786652,0.31054921158992665,0.2122711621749808,standardized_outer_train,5.0,0.23343441101896692,0.14232864448502044,0.09762469286603948
final,3026,L1,PLOCAL,resize_anisotropy,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.1319095925493496,0.27299379361647624,0.055251703758557036,0.3274936840499976,0.21907889358448374,standardized_outer_train,5.0,0.11695894180270039,0.03822087941080308,0.13817936595667324
final,3026,L1,PLOCAL,resize_anisotropy,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.18287457932327097,0.40793822651898987,0.1542939821494177,0.31064969479408155,0.21205543408955715,standardized_outer_train,5.0,0.1843355367046636,0.12897824382323447,0.17747565444151842
final,3026,L1,PLOCAL,resize_anisotropy,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.2080273604452811,0.40065908310205844,0.13919067314917555,0.311362812880172,0.21879719553623253,standardized_outer_train,5.0,0.1953449443600468,0.11759442330883181,0.1440865600141504
final,3026,L1,PLOCAL,resize_anisotropy,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.190421915257526,0.3715471189556506,0.1249568755137542,0.31501385082854444,0.21555067134631356,standardized_outer_train,5.0,0.18251845847159442,0.10678054775697246,0.1324106525707978
final,3026,L1,PLOCAL,valid_source_fraction,T0,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4694167631073542,0.4478194665641967,0.1730960952788484,0.08315340579250229,0.06377876573383966,standardized_outer_train,5.0,0.4728379543087393,0.17615104520199695,0.10557655259415956
final,3026,L1,PLOCAL,valid_source_fraction,T1,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.4071789347786995,0.40911123928794974,0.16592273382283318,0.09790960820522301,0.07542016992907188,standardized_outer_train,5.0,0.40842218815244263,0.16614448052932504,0.08529386613430698
final,3026,L1,PLOCAL,valid_source_fraction,T2,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.36117770915835007,0.3624506017623547,0.1279166285629797,0.10088887433058003,0.07805654231263097,standardized_outer_train,5.0,0.36823307341746525,0.12564369951506144,0.05123778058502619
final,3026,L1,PLOCAL,valid_source_fraction,T3,AVAILABLE,,192.0,pooled_outer_test_folds,808.0,0.38310157632619996,0.3855587640499308,0.14634117905237654,0.10046619600197337,0.07793196284814663,standardized_outer_train,5.0,0.3866733729554611,0.14129924414021575,0.06743183971372449
final,3026,L1,PLOCAL,valid_source_fraction,macro,AVAILABLE,,192.0,mean_of_pooled_endpoint_metrics,3232.0,0.40521874584265094,0.401235017916108,0.15331915917925945,0.09560452108256967,0.07379686020592229,standardized_outer_train,5.0,0.4090416472085271,0.15230961734664977,0.06527767456843245
final,3026,L1,PVALID,acquisition_fov_x_mm,T0,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,
final,3026,L1,PVALID,acquisition_fov_x_mm,T1,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,
final,3026,L1,PVALID,acquisition_fov_x_mm,T2,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,
final,3026,L1,PVALID,acquisition_fov_x_mm,T3,NA,NA_no_source_authoritative_mask,,,,,,,,,,,,,
