population,seed,arm,timing,model,clinical_contract,fold,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,2026,LOCAL0,T1,F,C2_full_with_treatment,0,69,20,49,0.6316326530612246,0.3881432863141405,0.5045918367346939,0.2019354130869279
ftv_complete_375,2026,LOCAL0,T1,F,C2_full_with_treatment,1,67,20,47,0.725531914893617,0.5412142678790525,0.5,0.19282071488822766
ftv_complete_375,2026,LOCAL0,T1,F,C2_full_with_treatment,2,83,24,59,0.7281073446327684,0.5646531213483411,0.5,0.1835829890036165
ftv_complete_375,2026,LOCAL0,T1,F,C2_full_with_treatment,3,72,23,49,0.5226264418811002,0.34116706887553394,0.5,0.22716814036518343
ftv_complete_375,2026,LOCAL0,T1,F,C2_full_with_treatment,4,84,23,61,0.7683535281539557,0.5175179874100223,0.548823948681397,0.1811362930608626
ftv_complete_375,2026,LOCAL0,T1,M,C2_full_with_treatment,0,69,20,49,0.4959183673469388,0.341838378245734,0.4765306122448979,0.3959056613067388
ftv_complete_375,2026,LOCAL0,T1,M,C2_full_with_treatment,1,67,20,47,0.526595744680851,0.3762141194957333,0.5329787234042553,0.23531007815398708
ftv_complete_375,2026,LOCAL0,T1,M,C2_full_with_treatment,2,83,24,59,0.4950564971751412,0.32573998470088195,0.4600988700564972,0.315025045973625
ftv_complete_375,2026,LOCAL0,T1,M,C2_full_with_treatment,3,72,23,49,0.6024844720496895,0.545379588935977,0.5909494232475598,0.21878014368092316
ftv_complete_375,2026,LOCAL0,T1,M,C2_full_with_treatment,4,84,23,61,0.5481111903064861,0.317306094989849,0.5666429080541697,0.24898924215257456
ftv_complete_375,2026,LOCAL0,T1,M_residual,C2_full_with_treatment,0,69,20,49,0.5806122448979593,0.4414265949057078,0.5265306122448979,0.3634100043562031
ftv_complete_375,2026,LOCAL0,T1,M_residual,C2_full_with_treatment,1,67,20,47,0.5606382978723404,0.44218508356083897,0.5398936170212766,0.22080402282328135
ftv_complete_375,2026,LOCAL0,T1,M_residual,C2_full_with_treatment,2,83,24,59,0.42867231638418085,0.3046520431583877,0.4579802259887006,0.2556468660125496
ftv_complete_375,2026,LOCAL0,T1,M_residual,C2_full_with_treatment,3,72,23,49,0.543921916592724,0.4223051979322756,0.6126885536823425,0.22362115947206185
ftv_complete_375,2026,LOCAL0,T1,M_residual,C2_full_with_treatment,4,84,23,61,0.4896650035637919,0.27184044239599064,0.533856022808268,0.2509453807450552
ftv_complete_375,2026,LOCAL0,T2,C,C2_full_with_treatment,0,69,20,49,0.689795918367347,0.45913627829079706,0.6081632653061224,0.24900909795157006
ftv_complete_375,2026,LOCAL0,T2,C,C2_full_with_treatment,1,67,20,47,0.7180851063829786,0.5739782862919715,0.6430851063829788,0.24861127523741341
ftv_complete_375,2026,LOCAL0,T2,C,C2_full_with_treatment,2,83,24,59,0.6412429378531074,0.49331696165888866,0.5903954802259886,0.24103091419578523
ftv_complete_375,2026,LOCAL0,T2,C,C2_full_with_treatment,3,72,23,49,0.7515527950310559,0.6324861766008653,0.7342502218278616,0.2397912060729757
ftv_complete_375,2026,LOCAL0,T2,C,C2_full_with_treatment,4,84,23,61,0.7861724875267284,0.6134760895267667,0.7006414825374199,0.23870886355396798
ftv_complete_375,2026,LOCAL0,T2,C+F,C2_full_with_treatment,0,69,20,49,0.710204081632653,0.48350872715518833,0.6035714285714285,0.20042737093038093
ftv_complete_375,2026,LOCAL0,T2,C+F,C2_full_with_treatment,1,67,20,47,0.6914893617021277,0.5529123830792955,0.675531914893617,0.19802757942450439
ftv_complete_375,2026,LOCAL0,T2,C+F,C2_full_with_treatment,2,83,24,59,0.7662429378531074,0.5979900745728974,0.6451271186440678,0.16834882918865374
ftv_complete_375,2026,LOCAL0,T2,C+F,C2_full_with_treatment,3,72,23,49,0.7613132209405501,0.6893345702445904,0.6601597160603372,0.239157078845712
ftv_complete_375,2026,LOCAL0,T2,C+F,C2_full_with_treatment,4,84,23,61,0.8132573057733429,0.6625217944686325,0.7387740555951532,0.1486453725634292
