task,fold,seed,arm,view,target,selected_C,validation_auroc,validation_threshold,train_rows,validation_rows,feature_dim,population,clinical_contract,timing,model,selected_alpha,validation_mse,subgroup
profile_binary,3,2026.0,LOCAL3,long_T0_T1,HR,100.0,0.5069367369589345,0.9732097329794163,526,121,384,,,,,,,
profile_binary,3,2026.0,LOCAL3,long_T0_T1,HER2,0.001,0.5849462365591398,0.4556695518440587,526,121,384,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,long_T0_T1,subtype_4class,100.0,0.5117409906831258,,526,121,384,,,,,,,
profile_binary,3,2026.0,LOCAL3,long_T0_T2,HR,1.0,0.5110987791342951,0.6328023778452673,526,121,576,,,,,,,
profile_binary,3,2026.0,LOCAL3,long_T0_T2,HER2,0.001,0.5516129032258065,0.42817340930584824,526,121,576,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,long_T0_T2,subtype_4class,100.0,0.5266894405920834,,526,121,576,,,,,,,
profile_binary,3,2026.0,LOCAL3,long_T0_T3,HR,0.001,0.48723640399556045,0.4718300018100812,526,121,768,,,,,,,
profile_binary,3,2026.0,LOCAL3,long_T0_T3,HER2,0.001,0.5591397849462365,0.446205918152759,526,121,768,,,,,,,
profile_multiclass,3,2026.0,LOCAL3,long_T0_T3,subtype_4class,0.001,0.5323517944179101,,526,121,768,,,,,,,
profile_binary,4,2026.0,LOCAL3,T0,HR,100.0,0.5657602663706992,0.8258700526669982,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T0,HER2,0.001,0.6433691756272402,0.53976184887808,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL3,T0,subtype_4class,0.01,0.606920253304772,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T1,HR,0.001,0.5507769145394006,0.5188808725083247,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T1,HER2,0.01,0.6684587813620072,0.4894879752258671,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL3,T1,subtype_4class,0.001,0.5650624435944638,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T2,HR,0.01,0.5638179800221976,0.3587060037688433,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T2,HER2,10.0,0.6713261648745519,0.44660251262449674,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL3,T2,subtype_4class,0.01,0.6047969080138115,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T3,HR,0.0001,0.5135960044395117,0.4952025679623583,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,T3,HER2,0.01,0.6706093189964158,0.46452033009921917,526,121,192,,,,,,,
profile_multiclass,4,2026.0,LOCAL3,T3,subtype_4class,0.0001,0.5992307305664021,,526,121,192,,,,,,,
profile_binary,4,2026.0,LOCAL3,long_T0_T1,HR,0.01,0.5402330743618202,0.520498130227104,526,121,384,,,,,,,
profile_binary,4,2026.0,LOCAL3,long_T0_T1,HER2,0.0001,0.6602150537634409,0.5101451545595429,526,121,384,,,,,,,
profile_multiclass,4,2026.0,LOCAL3,long_T0_T1,subtype_4class,0.001,0.5862131045674676,,526,121,384,,,,,,,
profile_binary,4,2026.0,LOCAL3,long_T0_T2,HR,0.01,0.5455049944506105,0.46045213595059553,526,121,576,,,,,,,
profile_binary,4,2026.0,LOCAL3,long_T0_T2,HER2,0.01,0.6476702508960572,0.62111167158536,526,121,576,,,,,,,
profile_multiclass,4,2026.0,LOCAL3,long_T0_T2,subtype_4class,0.01,0.5620938813092607,,526,121,576,,,,,,,
