seed,arm,timing,subgroup,model,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
2026,LOCAL3,T2,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL3,T2,HR-/HER2-,remaining_clinical+M,287,124,163,0.5050959825846031,0.4373924836983726,0.48575103898674055,0.3570645118936419
2026,LOCAL3,T3,HER2+,M,201,94,107,0.5397693378405248,0.4996334690898613,0.530373831775701,0.3248485585270913
2026,LOCAL3,T3,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
2026,LOCAL3,T3,HER2+,remaining_clinical+M,201,94,107,0.582123682640684,0.5387938213209064,0.5543845694969178,0.31253486184181495
2026,LOCAL3,T3,HR+/HER2-,M,320,57,263,0.5143085851510907,0.19371184582048473,0.5125408578480422,0.22029949757748696
2026,LOCAL3,T3,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
2026,LOCAL3,T3,HR+/HER2-,remaining_clinical+M,320,57,263,0.5624708158228271,0.24345556520733974,0.5362217330398239,0.22574439591783751
2026,LOCAL3,T3,HR-/HER2-,M,287,124,163,0.4141599050069266,0.39626929828852475,0.4165099940629329,0.35749500059784095
2026,LOCAL3,T3,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
2026,LOCAL3,T3,HR-/HER2-,remaining_clinical+M,287,124,163,0.49183653275282013,0.445159105904765,0.4846131011280428,0.35461156827492224
3026,LOCAL0,T0,HER2+,M,201,94,107,0.5249552594949295,0.5167939480993052,0.5498608073175582,0.2889448434563639
3026,LOCAL0,T0,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL0,T0,HER2+,remaining_clinical+M,201,94,107,0.6179160866971565,0.6120265152308115,0.572429906542056,0.2674654059796283
3026,LOCAL0,T0,HR+/HER2-,M,320,57,263,0.6037622573544126,0.22480546391183215,0.4998332332732973,0.19723263398738894
3026,LOCAL0,T0,HR+/HER2-,remaining_clinical,320,57,263,0.6100326862784337,0.291631127552526,0.5412247348409045,0.1626373292879201
3026,LOCAL0,T0,HR+/HER2-,remaining_clinical+M,320,57,263,0.6543926355813487,0.28677614505470267,0.593989727169635,0.18376278242955751
3026,LOCAL0,T0,HR-/HER2-,M,287,124,163,0.4569067880467049,0.41635998099065036,0.44622006728676034,0.36905664237227814
3026,LOCAL0,T0,HR-/HER2-,remaining_clinical,287,124,163,0.5522461903819513,0.48319100996234143,0.5346576291312092,0.25134402011028373
3026,LOCAL0,T0,HR-/HER2-,remaining_clinical+M,287,124,163,0.43385117751830593,0.41959091091795764,0.44025826241836535,0.3132827080166797
3026,LOCAL0,T1,HER2+,M,201,94,107,0.5355935573672699,0.4979546792871995,0.5364883674686816,0.27877125811314574
3026,LOCAL0,T1,HER2+,remaining_clinical,201,94,107,0.6488864585404652,0.6220341513624427,0.6343209385563731,0.24218554980550253
3026,LOCAL0,T1,HER2+,remaining_clinical+M,201,94,107,0.588785046728972,0.5567216568782778,0.5737224100218732,0.3146079381002505
3026,LOCAL0,T1,HR+/HER2-,M,320,57,263,0.6195717430458275,0.26408477626385435,0.5738109532386098,0.18342875421151933
