population,seed,arm,timing,model,clinical_contract,n,n_positive,n_negative,auroc,auprc,balanced_accuracy,brier
ftv_complete_375,3026,LOCAL0,T2,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6849056603773584,0.48320072230145444,0.6216123499142368,0.22208711196600356
ftv_complete_375,3026,LOCAL0,T2,C+M,C2_full_with_treatment,375,110,265,0.6069296740994854,0.38223578292618376,0.606861063464837,0.25267598021952176
ftv_complete_375,3026,LOCAL0,T2,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5974442538593482,0.38848503566188125,0.5334476843910806,0.20657189655061298
ftv_complete_375,3026,LOCAL0,T2,F,C2_full_with_treatment,375,110,265,0.66295025728988,0.43481895924844305,0.5330188679245284,0.19396322798683355
ftv_complete_375,3026,LOCAL0,T2,M,C2_full_with_treatment,375,110,265,0.47879931389365354,0.27164480715782446,0.49451114922813033,0.3268544807420908
ftv_complete_375,3026,LOCAL0,T2,M_residual,C2_full_with_treatment,375,110,265,0.5292967409948541,0.3056307772248381,0.5092624356775299,0.30674433505534665
ftv_complete_375,3026,LOCAL0,T3,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL0,T3,C+F,C2_full_with_treatment,375,110,265,0.7154030874785592,0.5393749537451002,0.6797598627787307,0.19299362818294807
ftv_complete_375,3026,LOCAL0,T3,C+F+M,C2_full_with_treatment,375,110,265,0.6588679245283019,0.4257312372510493,0.6258147512864494,0.24772832731384717
ftv_complete_375,3026,LOCAL0,T3,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6684734133790737,0.44116046553609817,0.6277015437392797,0.24438347892967022
ftv_complete_375,3026,LOCAL0,T3,C+M,C2_full_with_treatment,375,110,265,0.6046998284734134,0.37192256265144913,0.5868782161234991,0.2752971408649286
ftv_complete_375,3026,LOCAL0,T3,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5843739279588336,0.36709296266583785,0.5172384219554031,0.21090820068438546
ftv_complete_375,3026,LOCAL0,T3,F,C2_full_with_treatment,375,110,265,0.6913207547169811,0.4682411335811604,0.5337907375643225,0.18794318580344452
ftv_complete_375,3026,LOCAL0,T3,M,C2_full_with_treatment,375,110,265,0.5312521440823328,0.33333265649549265,0.5393653516295025,0.2668996662295793
ftv_complete_375,3026,LOCAL0,T3,M_residual,C2_full_with_treatment,375,110,265,0.5382161234991424,0.3347173105009463,0.5420240137221269,0.2609206588675581
ftv_complete_375,3026,LOCAL3,T0,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL3,T0,C+F,C2_full_with_treatment,375,110,265,0.6880274442538593,0.538897485664505,0.6582332761578045,0.2356217123236572
ftv_complete_375,3026,LOCAL3,T0,C+F+M,C2_full_with_treatment,375,110,265,0.6299485420240137,0.3981845931354563,0.6007718696397942,0.24243579483623118
ftv_complete_375,3026,LOCAL3,T0,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6379759862778731,0.40202959808370065,0.6064322469982848,0.23760366109473519
ftv_complete_375,3026,LOCAL3,T0,C+M,C2_full_with_treatment,375,110,265,0.62778730703259,0.39507205512712573,0.598885077186964,0.24218855458554034
ftv_complete_375,3026,LOCAL3,T0,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5197598627787307,0.31594101874739156,0.5,0.20900229415218427
ftv_complete_375,3026,LOCAL3,T0,F,C2_full_with_treatment,375,110,265,0.5020926243567754,0.2921751272631997,0.5,0.24948439956033697
ftv_complete_375,3026,LOCAL3,T0,M,C2_full_with_treatment,375,110,265,0.5489879931389365,0.3219058609924963,0.5204974271012007,0.25948521298914706
ftv_complete_375,3026,LOCAL3,T0,M_residual,C2_full_with_treatment,375,110,265,0.5150600343053173,0.3070194398514383,0.4981989708404803,0.27407840241018866
ftv_complete_375,3026,LOCAL3,T1,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL3,T1,C+F,C2_full_with_treatment,375,110,265,0.6971526586620925,0.5259975356624463,0.6684391080617496,0.19795462758831528
ftv_complete_375,3026,LOCAL3,T1,C+F+M,C2_full_with_treatment,375,110,265,0.6579759862778731,0.47004982294581216,0.6355917667238422,0.2238766744489745
ftv_complete_375,3026,LOCAL3,T1,C+F+M_residual,C2_full_with_treatment,375,110,265,0.672418524871355,0.4841325404193319,0.6329331046312179,0.21526513082089566
ftv_complete_375,3026,LOCAL3,T1,C+M,C2_full_with_treatment,375,110,265,0.6313207547169811,0.43058152534027905,0.6090909090909091,0.23723624156902043
ftv_complete_375,3026,LOCAL3,T1,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5315608919382504,0.3651580745995457,0.5197255574614065,0.21031509456581274
ftv_complete_375,3026,LOCAL3,T1,F,C2_full_with_treatment,375,110,265,0.6593481989708404,0.4223046318898934,0.5106346483704974,0.19643059789657363
ftv_complete_375,3026,LOCAL3,T1,M,C2_full_with_treatment,375,110,265,0.5093310463121784,0.29889198005421985,0.5152658662092624,0.2839318435311871
ftv_complete_375,3026,LOCAL3,T1,M_residual,C2_full_with_treatment,375,110,265,0.5368782161234992,0.3230143130068816,0.5286449399656947,0.28932170879735813
ftv_complete_375,3026,LOCAL3,T2,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL3,T2,C+F,C2_full_with_treatment,375,110,265,0.726106346483705,0.5400010651611841,0.6673241852487135,0.1887354938947084
ftv_complete_375,3026,LOCAL3,T2,C+F+M,C2_full_with_treatment,375,110,265,0.675540308747856,0.4665531890879071,0.623156089193825,0.23450193072009362
ftv_complete_375,3026,LOCAL3,T2,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6846998284734135,0.47903628383535934,0.6250428816466552,0.2185479315206159
ftv_complete_375,3026,LOCAL3,T2,C+M,C2_full_with_treatment,375,110,265,0.6575300171526587,0.45206328894907255,0.6087478559176672,0.22460077429832484
ftv_complete_375,3026,LOCAL3,T2,C+M_error_correction,C2_full_with_treatment,375,110,265,0.6,0.3506698948823014,0.503516295025729,0.20613083263002463
ftv_complete_375,3026,LOCAL3,T2,F,C2_full_with_treatment,375,110,265,0.66295025728988,0.43481895924844305,0.5330188679245284,0.19396322798683355
ftv_complete_375,3026,LOCAL3,T2,M,C2_full_with_treatment,375,110,265,0.5672384219554032,0.33739488071636703,0.5540308747855918,0.26749421060197254
ftv_complete_375,3026,LOCAL3,T2,M_residual,C2_full_with_treatment,375,110,265,0.5342024013722128,0.3327771088303622,0.5395368782161235,0.31127376040298627
ftv_complete_375,3026,LOCAL3,T3,C,C2_full_with_treatment,375,110,265,0.6966723842195541,0.5362125873999827,0.6563464837049743,0.2430950945429407
ftv_complete_375,3026,LOCAL3,T3,C+F,C2_full_with_treatment,375,110,265,0.7154030874785592,0.5393749537451002,0.6797598627787307,0.19299362818294807
ftv_complete_375,3026,LOCAL3,T3,C+F+M,C2_full_with_treatment,375,110,265,0.682572898799314,0.45430504727953414,0.6572898799313893,0.2330489494038298
ftv_complete_375,3026,LOCAL3,T3,C+F+M_residual,C2_full_with_treatment,375,110,265,0.6779416809605489,0.44821978315137234,0.6337907375643225,0.22979583785822646
ftv_complete_375,3026,LOCAL3,T3,C+M,C2_full_with_treatment,375,110,265,0.6503945111492281,0.40778696832224715,0.6160377358490565,0.24634791517972057
ftv_complete_375,3026,LOCAL3,T3,C+M_error_correction,C2_full_with_treatment,375,110,265,0.5957118353344768,0.3809656209035459,0.5395368782161235,0.20821433605064738
