seed_base,fold,task,endpoint,target_semantics,metric,L3_minus_L1,N3_minus_N1,N1_minus_L1,difference_in_differences
3026,4,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.07018325402450143,-0.00010124531740396403,-0.21753568897438497,-0.0702844993419054
3026,4,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.10578110762377246,0.05438898450946647,-0.29948364888123924,-0.05139212311430599
3026,4,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.16027133745064304,0.03225675812493667,-0.079578819479599,-0.12801457932570637
3026,4,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.0350308798218083,-0.1632479497823226,-0.152313455502683,-0.1982788296041309
3026,4,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,spearman,0.09281664473018131,-0.019175863116330794,-0.18722790320947652,-0.1119925078465121
2026,0,delta,T0→T1,literal_ftv_end_minus_ftv_start,pearson,-0.02314782457617226,0.06748575993584544,-0.6202180441175635,0.0906335845120177
2026,0,delta,T1→T2,literal_ftv_end_minus_ftv_start,pearson,0.035557369868512684,0.01765490147995849,0.04139479226240089,-0.017902468388554194
2026,0,delta,T2→T3,literal_ftv_end_minus_ftv_start,pearson,-0.026437718188488002,0.0033413846267640983,-0.15853924154103322,0.0297791028152521
2026,0,delta,macro,literal_ftv_end_minus_ftv_start,pearson,-0.004676057632049091,0.029494015347522703,-0.24578749779873188,0.034170072979571794
2026,0,static,T0,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.010521736428862283,-0.10318206552705231,-0.0755285966260536,-0.11370380195591459
2026,0,static,T1,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,0.00143393604316841,-0.06160042919767189,0.12897745804827168,-0.0630343652408403
2026,0,static,T2,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,-0.07209771130591139,-0.0408478334796174,0.15251376358340002,0.031249877826293987
2026,0,static,T3,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,-0.05301834184745288,0.11447190671955829,-0.13799018096105378,0.16749024856701117
2026,0,static,macro,static_ftv_log_winsor_median_iqr_inverse_natural,pearson,-0.02829009517033329,-0.022789605371195787,0.016993111011141093,0.0055004897991375035
