comparison,left_arm,right_arm,task,endpoint,analysis_scope,metric,independent_unit,seed_result,n_seeds,mean,median,sample_sd,min,max,direction_count,negative_direction_count,zero_direction_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_resamples,bootstrap_seed,bootstrap_interval,bootstrap_statistic
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_calibration_intercept,training_seed,five_fold_pooled_oof,5,0.1220765437958475,0.20781328600551774,0.16939469914131627,-0.12485675055137513,0.2795167491662385,4,1,0,-0.01503174506342777,0.24457521974284227,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_calibration_mean_bias,training_seed,five_fold_pooled_oof,5,-0.02244415695833406,-0.007889206781653418,0.1421453076307759,-0.19317220386394016,0.12951759258472215,2,3,0,-0.13461403857265605,0.08972572465598797,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_calibration_slope,training_seed,five_fold_pooled_oof,5,0.016388161294482843,0.011159849743870805,0.017022257037548554,0.003831081695780461,0.04633910041284224,5,0,0,0.0068347773252970204,0.03192561517168948,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_mae,training_seed,five_fold_pooled_oof,5,-0.1297615078746471,-0.10110621646179929,0.11218400571277029,-0.2978070632115415,0.007636670861252526,1,4,0,-0.2191267245116446,-0.04832100821427332,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_pearson,training_seed,five_fold_pooled_oof,5,0.04308526725989511,0.033023202109686706,0.03081475647959669,0.012182784616296224,0.09129063266054717,5,0,0,0.02166358118265438,0.06859534284068833,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_prediction_target_variance_ratio,training_seed,five_fold_pooled_oof,5,0.0057105850744380475,-0.0005913191183778421,0.027575199029096935,-0.02798496236878567,0.048171006859530026,2,3,0,-0.01491303983038338,0.02866607646836688,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_r2,training_seed,five_fold_pooled_oof,5,0.027135256002562308,0.01876631215781229,0.019076821546640144,0.00868731332594038,0.0505662143210865,5,0,0,0.012494700573144887,0.041871016634246375,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_rmse,training_seed,five_fold_pooled_oof,5,-0.26990670618890744,-0.21412705199199067,0.1764711384325391,-0.4597241158091592,-0.07648038834020454,0,5,0,-0.40738241338321546,-0.13243099899459948,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_rmse_gain_over_b0,training_seed,five_fold_pooled_oof,5,0.013797295595539983,0.009500596940177039,0.009653172613809461,0.0044865602912035904,0.024794680396945153,5,0,0,0.006350587775948191,0.02124400341513177,10000,20260811,percentile_2.5_97.5,mean
GAP3-GAP0,GAP3,GAP0,delta,macro,primary_measurement_valid,natural_spearman,training_seed,five_fold_pooled_oof,5,0.02890007964501081,0.027133310577615935,0.012968985252241095,0.016594151780634864,0.04647491182159519,5,0,0,0.018891917927712658,0.03890824136230896,10000,20260811,percentile_2.5_97.5,mean
