audit_condition,decision_point,fold,metric,native,comparison,absolute_difference,relative_difference,relative_percentage_difference,relative_defined,difference_direction,n_paired_patients
repeated_t0_c1_mri_only,T0-T1,0,sensitivity,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,0,specificity,0.8130841121495327,0.8130841121495327,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,1,auroc,0.6842820730671199,0.6842820730671199,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,1,auprc,0.5609339063153655,0.5609339063153655,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,1,accuracy,0.6234567901234568,0.6234567901234568,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,1,sensitivity,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,1,specificity,0.616822429906542,0.616822429906542,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,2,auroc,0.7840271877655055,0.7840271877655055,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,2,auprc,0.6361400919735195,0.6361400919735195,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,2,accuracy,0.7469135802469136,0.7469135802469136,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,2,sensitivity,0.7636363636363637,0.7636363636363637,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,2,specificity,0.7383177570093458,0.7383177570093458,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T1,3,auroc,0.7425385934819897,0.7425385934819897,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,3,auprc,0.6418666539732752,0.6418666539732752,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,3,accuracy,0.6894409937888198,0.6894409937888198,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,3,sensitivity,0.6727272727272727,0.6727272727272727,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,3,specificity,0.6981132075471698,0.6981132075471698,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,4,auroc,0.7912521440823328,0.7912521440823328,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,4,auprc,0.6163168395298928,0.6163168395298928,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,4,accuracy,0.7018633540372671,0.7018633540372671,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,4,sensitivity,0.8,0.8,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T1,4,specificity,0.6509433962264151,0.6509433962264151,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,0,auroc,0.772642310960068,0.772642310960068,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,0,auprc,0.6386696797156936,0.6386696797156936,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,0,accuracy,0.654320987654321,0.654320987654321,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,0,sensitivity,0.7818181818181819,0.7818181818181819,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,0,specificity,0.5887850467289719,0.5887850467289719,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,1,auroc,0.7062022090059475,0.7062022090059475,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,1,auprc,0.5938404661764681,0.5938404661764681,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,1,accuracy,0.6234567901234568,0.6234567901234568,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,1,sensitivity,0.8181818181818182,0.8181818181818182,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,1,specificity,0.5233644859813084,0.5233644859813084,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,2,auroc,0.7700934579439253,0.7700934579439253,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,2,auprc,0.593997447488535,0.593997447488535,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,2,accuracy,0.7098765432098766,0.7098765432098766,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,2,sensitivity,0.6363636363636364,0.6363636363636364,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,2,specificity,0.7476635514018691,0.7476635514018691,0.0,0.0,0.0,True,comparison - native,162
repeated_t0_c1_mri_only,T0-T2,3,auroc,0.7337907375643224,0.7337907375643224,0.0,0.0,0.0,True,comparison - native,161
repeated_t0_c1_mri_only,T0-T2,3,auprc,0.6174239829756762,0.6174239829756762,0.0,0.0,0.0,True,comparison - native,161
