population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,dimension,input_dim,max_components,component_explained_variance_ratio,incremental_explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,2,T1,384,525,outer_train_timing_prefix,0,0,b96fb4425ea33dd5ca4a5bd72382284d23c6d7fcdfcef77d0f0e5502cf902da6,8,384,64,0.016159843610126533,0.9108436831174315,0.9108436831174315
full_808,2026,LOCAL0,2,T1,384,525,outer_train_timing_prefix,0,0,b96fb4425ea33dd5ca4a5bd72382284d23c6d7fcdfcef77d0f0e5502cf902da6,16,384,64,0.0035660015569171596,0.04953562571159102,0.9603793088290224
full_808,2026,LOCAL0,2,T1,384,525,outer_train_timing_prefix,0,0,b96fb4425ea33dd5ca4a5bd72382284d23c6d7fcdfcef77d0f0e5502cf902da6,32,384,64,0.000714222719209212,0.023510773027355814,0.9838900818563783
full_808,2026,LOCAL0,2,T1,384,525,outer_train_timing_prefix,0,0,b96fb4425ea33dd5ca4a5bd72382284d23c6d7fcdfcef77d0f0e5502cf902da6,64,384,64,0.00016803053714176347,0.010824280375358313,0.9947143622317365
full_808,2026,LOCAL0,2,T2,576,525,outer_train_timing_prefix,0,0,a1fdce6a93c7293fd5b3e36883919f389a8745c46a2957e4825f5065b018e935,8,576,64,0.023720719734219135,0.8587778245656352,0.8587778245656353
full_808,2026,LOCAL0,2,T2,576,525,outer_train_timing_prefix,0,0,a1fdce6a93c7293fd5b3e36883919f389a8745c46a2957e4825f5065b018e935,16,576,64,0.004787328631565447,0.08086662916812136,0.9396444537337567
full_808,2026,LOCAL0,2,T2,576,525,outer_train_timing_prefix,0,0,a1fdce6a93c7293fd5b3e36883919f389a8745c46a2957e4825f5065b018e935,32,576,64,0.0010588640500181572,0.03476207133630042,0.9744065250700572
full_808,2026,LOCAL0,2,T2,576,525,outer_train_timing_prefix,0,0,a1fdce6a93c7293fd5b3e36883919f389a8745c46a2957e4825f5065b018e935,64,576,64,0.0002407733914793277,0.016044800071317623,0.9904513251413747
full_808,2026,LOCAL0,2,T3,768,525,outer_train_timing_prefix,0,0,142ce19b1921b96db788a8a1d7890b5a3476a5e92df6a45fd2ffe6fee659c7e2,8,768,64,0.021995587861170694,0.8140598823457825,0.8140598823457825
full_808,2026,LOCAL0,2,T3,768,525,outer_train_timing_prefix,0,0,142ce19b1921b96db788a8a1d7890b5a3476a5e92df6a45fd2ffe6fee659c7e2,16,768,64,0.006013074391084397,0.10728873818812466,0.9213486205339072
full_808,2026,LOCAL0,2,T3,768,525,outer_train_timing_prefix,0,0,142ce19b1921b96db788a8a1d7890b5a3476a5e92df6a45fd2ffe6fee659c7e2,32,768,64,0.0013541128794861547,0.044412529514437846,0.965761150048345
full_808,2026,LOCAL0,2,T3,768,525,outer_train_timing_prefix,0,0,142ce19b1921b96db788a8a1d7890b5a3476a5e92df6a45fd2ffe6fee659c7e2,64,768,64,0.0003181207059314667,0.0208349036134798,0.9865960536618247
ftv_complete_375,2026,LOCAL0,2,T0,192,240,outer_train_timing_prefix,0,0,45856b9902999704aba01d62b3471e54911be063cfc0d168bb78fc1e73dba587,8,192,64,0.007568679815586344,0.9556535817378267,0.9556535817378268
ftv_complete_375,2026,LOCAL0,2,T0,192,240,outer_train_timing_prefix,0,0,45856b9902999704aba01d62b3471e54911be063cfc0d168bb78fc1e73dba587,16,192,64,0.0017525234822176675,0.027239828816628727,0.9828934105544553
ftv_complete_375,2026,LOCAL0,2,T0,192,240,outer_train_timing_prefix,0,0,45856b9902999704aba01d62b3471e54911be063cfc0d168bb78fc1e73dba587,32,192,64,0.000336888871451141,0.011709495169277105,0.9946029057237326
