population,seed,arm,fold,timing,raw_input_dim,train_rows,fit_scope,validation_rows_in_fit,test_rows_in_fit,fitted_transform_sha256,component,explained_variance,explained_variance_ratio,cumulative_explained_variance_ratio
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,50,0.08952385159251812,0.00029328825900553707,0.9911585105472045
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,51,0.0871010498246395,0.00028535094062863154,0.9914438614878331
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,52,0.08322317217749586,0.00027264666167352124,0.9917165081495066
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,53,0.07959291393310054,0.0002607536063446977,0.9919772617558513
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,54,0.07842946154762516,0.0002569420307868781,0.9922342037866382
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,55,0.07401213941961464,0.0002424704827765475,0.9924766742694148
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,56,0.07289579006618847,0.00023881322102468962,0.9927154874904395
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,57,0.0680599820516911,0.0002229706752871301,0.9929384581657266
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,58,0.06634919431976297,0.00021736597948260813,0.9931558241452092
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,59,0.06605094945053434,0.00021638890223562443,0.9933722130474448
full_808,2026,LOCAL0,0,T1,384,525,outer_train_timing_prefix,0,0,a253db37f73f273a0b346044ebe5967277d243bb5655489d60c2ac5369d4137b,60,0.06275060547751252,0.00020557667598811248,0.9935777897234329
