comparison_name,population,seed,arm,timing,reference_selector,comparison_selector,n,reference_auroc,comparison_auroc,delta_auroc,reference_auprc,comparison_auprc,delta_auprc,reference_brier,comparison_brier,delta_brier,brier_improvement
raw_vs_compact_M,full_808,2026,LOCAL0,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5458775370970492,0.5329285348797543,-0.012949002217294892,0.37268564371412644,0.3657475975698602,-0.006938046144266241,0.26110818380815326,0.24489621814860343,-0.016211965659549826,0.016211965659549826
raw_vs_compact_M,full_808,2026,LOCAL3,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5211734606856558,0.5126249360395702,-0.008548524646085687,0.3549562201221319,0.3541806626249927,-0.000775557497139201,0.2699949348433606,0.2412588087843251,-0.028736126059035527,0.028736126059035527
raw_vs_compact_M,full_808,2026,LOCAL3,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5299607709363807,0.5260719768036841,-0.0038887941326966047,0.3611126560022133,0.3554169637933237,-0.005695692208889602,0.26685115491295197,0.23605492682530754,-0.03079622808764443,0.03079622808764443
raw_vs_compact_M,full_808,2026,LOCAL3,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5265154357837284,0.5341975098072659,0.0076820740235374885,0.36077267680921116,0.3678219791341998,0.007049302324988627,0.29002865741890077,0.2423052710470941,-0.047723386371806675,0.047723386371806675
raw_vs_compact_M,full_808,2026,LOCAL3,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5461436124850759,0.5189220535561999,-0.02722155892887601,0.36717932157251576,0.3561396138371252,-0.011039707735390536,0.24977594870586214,0.2479057375878338,-0.0018702111180283476,0.0018702111180283476
raw_vs_compact_M,full_808,3026,LOCAL0,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5138052191710728,0.5158587753709705,0.002053556199897666,0.3550692971435697,0.3641474952758187,0.009078198132248971,0.24949464298088886,0.24583038831232734,-0.0036642546685615174,0.0036642546685615174
raw_vs_compact_M,full_808,3026,LOCAL0,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5257308545113424,0.5307180624253796,0.004987207914037173,0.357868487992803,0.3773818807614673,0.01951339276866426,0.2944404151040312,0.2375808220195222,-0.056859593084509,0.056859593084509
raw_vs_compact_M,full_808,3026,LOCAL0,T2,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5161112058673034,0.5448814600034112,0.028770254136107787,0.35416547989567204,0.3989647795930738,0.04479929969740176,0.3027902138958045,0.23968844461423028,-0.06310176928157424,0.06310176928157424
raw_vs_compact_M,full_808,3026,LOCAL0,T3,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5419682756268122,0.5731673204843937,0.031199044857581515,0.37485018992936536,0.4061250616149944,0.031274871685629035,0.2663780503680862,0.23283465931032937,-0.03354339105775683,0.03354339105775683
raw_vs_compact_M,full_808,3026,LOCAL3,T0,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5382568650861334,0.545932116663824,0.007675251577690667,0.37082403749069487,0.39322919910591947,0.0224051616152246,0.25669388671489063,0.2355007937737282,-0.021193092941162422,0.021193092941162422
raw_vs_compact_M,full_808,3026,LOCAL3,T1,"{""model_key"":""M|RAW""}","{""model_key"":""M|PCA_SELECTED""}",808,0.5428620160327478,0.5437625788845302,0.000900562851782416,0.37778026804811027,0.38870960412289723,0.010929336074786966,0.2805108778476043,0.23553032001356072,-0.04498055783404359,0.04498055783404359
