population,seed,arm,fold,timing,model_family,representation,dimension,raw_input_dim,feature_dim,train_rows,validation_rows,selected_C,validation_selection_auroc,train_auroc,validation_auroc,test_auroc,train_auprc,validation_auprc,test_auprc,train_brier,validation_brier,test_brier,train_test_auroc_gap
ftv_complete_375,2026,LOCAL0,0,T0,F,none,-1,192,1,247,59,0.0001,0.381578947368421,0.5196862996158771,0.381578947368421,0.636734693877551,0.32898201212723244,0.300327368414694,0.39481787951302605,0.24944213465545179,0.2495619027624877,0.24942237858431207,-0.1170483942616739
ftv_complete_375,2026,LOCAL0,0,T0,C+F,none,-1,192,34,247,59,0.0001,0.8473684210526317,0.7946542893725991,0.8473684210526317,0.6948979591836735,0.6750451739760228,0.7026277473309375,0.46344777562342976,0.24855096386939288,0.24854081255047278,0.24897795779306528,0.0997563301889256
ftv_complete_375,2026,LOCAL0,0,T0,M,raw,192,192,192,247,59,0.01,0.4328947368421052,0.7144686299615878,0.4328947368421052,0.4520408163265306,0.5466344311277284,0.3217008515021871,0.27559073222628144,0.20283966804008596,0.24268822422037498,0.2432283759438543,0.2624278136350572
ftv_complete_375,2026,LOCAL0,0,T0,C+M,raw,192,192,225,247,59,0.01,0.7499999999999999,0.862916133162612,0.7499999999999999,0.5989795918367347,0.7942324994816126,0.5373616483173269,0.37737360276623005,0.1698249921816154,0.20170442875485706,0.23319655159302247,0.2639365413258773
ftv_complete_375,2026,LOCAL0,0,T0,C+F+M,raw,192,192,226,247,59,0.1,0.7368421052631579,0.9216549295774649,0.7368421052631579,0.563265306122449,0.8623939718511092,0.5420135274918623,0.3209543608193059,0.10678247686722793,0.1967777966722125,0.2773609571909713,0.3583896234550159
ftv_complete_375,2026,LOCAL0,0,T0,M,pca,8,192,8,247,59,1.0,0.34868421052631576,0.5818661971830986,0.34868421052631576,0.45408163265306123,0.41384273723180076,0.27900177528718895,0.29426200255093304,0.19939109360043533,0.2380545967078458,0.21405558775077585,0.1277845645300374
ftv_complete_375,2026,LOCAL0,0,T0,C+M,pca,8,192,41,247,59,0.001,0.825,0.8012163892445582,0.825,0.6775510204081633,0.690657564574165,0.6418651469217234,0.4230997884773867,0.2364797033491881,0.23752227511450413,0.24149677955700452,0.1236653688363949
ftv_complete_375,2026,LOCAL0,0,T0,C+F+M,pca,8,192,42,247,59,0.0001,0.8105263157894737,0.8015364916773366,0.8105263157894737,0.6846938775510204,0.6908801041261501,0.6270302135983215,0.42803844079322884,0.24849111225356968,0.24862668002109273,0.2490129552974056,0.11684261412631625
ftv_complete_375,2026,LOCAL0,0,T0,M_residual,pca,8,192,8,247,59,0.0001,0.35789473684210527,0.5809058898847632,0.35789473684210527,0.4418367346938776,0.42655657425974114,0.2845193415378263,0.2836304736333147,0.24938657440144146,0.24963252087370488,0.2494999531810099,0.13906915519088564
ftv_complete_375,2026,LOCAL0,0,T0,C+F+M_residual,pca,8,192,42,247,59,0.0001,0.8118421052631579,0.8025768245838667,0.8118421052631579,0.6785714285714286,0.693539348199449,0.6248098938722808,0.42224626142989985,0.24849081902892942,0.24863552422591362,0.24902448113197515,0.1240053960124381
ftv_complete_375,2026,LOCAL0,0,T0,M,pca,16,192,16,247,59,0.0001,0.5236842105263158,0.6712548015364916,0.5236842105263158,0.44081632653061226,0.4976993014634536,0.3528616390169815,0.26203331048489764,0.24923180650432566,0.24950967524208736,0.2495601566452736,0.23043847500587938
ftv_complete_375,2026,LOCAL0,0,T0,C+M,pca,16,192,49,247,59,0.001,0.8407894736842105,0.8292253521126761,0.8407894736842105,0.6428571428571429,0.738269865351679,0.6693967321578149,0.37946373400929956,0.23511783000943257,0.23654219135973184,0.24231247073165246,0.1863682092555332
ftv_complete_375,2026,LOCAL0,0,T0,C+F+M,pca,16,192,50,247,59,0.001,0.8355263157894737,0.8306658130601793,0.8355263157894737,0.6540816326530613,0.7435947529621489,0.6470543776321809,0.38849021728387834,0.23506424905094353,0.23677933387721214,0.2420198337817525,0.17658418040711799
ftv_complete_375,2026,LOCAL0,0,T0,M_residual,pca,16,192,16,247,59,0.0001,0.506578947368421,0.6726952624839948,0.506578947368421,0.4591836734693877,0.5046775132846116,0.3375143045066433,0.26971000026178205,0.24922523574070182,0.24952159616252303,0.24954745392045385,0.2135115890146071
ftv_complete_375,2026,LOCAL0,0,T0,C+F+M_residual,pca,16,192,50,247,59,0.001,0.8328947368421054,0.8312259923175417,0.8328947368421054,0.6612244897959184,0.7439698349436125,0.6394029243383128,0.39320384364617855,0.2350129558080837,0.23688148777191603,0.24192399200049897,0.17000150252162327
ftv_complete_375,2026,LOCAL0,0,T0,M,pca,32,192,32,247,59,0.0001,0.475,0.7640044814340589,0.475,0.48775510204081635,0.6235017786565065,0.30314761288080333,0.2757361132804941,0.24897680965362176,0.2496448380694474,0.24969845280360534,0.2762493793932425
ftv_complete_375,2026,LOCAL0,0,T0,C+M,pca,32,192,65,247,59,0.0001,0.7723684210526316,0.8721991037131882,0.7723684210526316,0.6153061224489796,0.7953043653661414,0.6178786952031734,0.3871012124892837,0.24808716456492882,0.24862341330915352,0.2492559350839196,0.25689298126420856
