population,seed,arm,fold,timing,model_family,raw_input_dim,selected_dimension,selected_C,validation_auroc,selection_metric,tie_break,test_used_for_selection
full_808,2026,LOCAL0,3,T3,M,768,32,0.0001,0.609451219512195,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T3,C+M,768,32,0.001,0.7423780487804877,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,3,T3,"LateFusion(C,M)",768,64,0.0001,0.7551829268292682,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,M,192,8,1.0,0.5439024390243903,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,C+M,192,16,0.0001,0.7341463414634146,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,C+F+M,192,16,0.0001,0.7402439024390244,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,M_residual,192,16,10.0,0.5426829268292683,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,C+F+M_residual,192,16,0.0001,0.7365853658536585,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,"LateFusion(C,M)",192,32,0.001,0.7341463414634146,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T0,"LateFusion(C+F,M)",192,32,0.0001,0.7414634146341463,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,M,384,8,0.1,0.6182926829268293,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,C+M,384,32,0.001,0.7585365853658537,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,C+F+M,384,32,0.01,0.801219512195122,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,M_residual,384,8,10.0,0.6573170731707317,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,C+F+M_residual,384,8,0.0001,0.8170731707317073,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,"LateFusion(C,M)",384,64,0.0001,0.7365853658536585,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T1,"LateFusion(C+F,M)",384,64,0.0001,0.802439024390244,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,M,576,64,0.1,0.598780487804878,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,C+M,576,64,0.001,0.725609756097561,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,C+F+M,576,64,0.0001,0.8060975609756097,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,M_residual,576,64,0.1,0.6060975609756097,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,C+F+M_residual,576,64,0.0001,0.8207317073170732,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,"LateFusion(C,M)",576,64,0.0001,0.7536585365853659,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T2,"LateFusion(C+F,M)",576,64,0.0001,0.8304878048780487,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,M,768,64,100.0,0.6463414634146342,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,C+M,768,64,0.0001,0.7329268292682927,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,C+F+M,768,64,0.0001,0.8341463414634146,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,M_residual,768,64,10.0,0.6670731707317074,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,C+F+M_residual,768,64,0.0001,0.8451219512195122,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,"LateFusion(C,M)",768,64,0.0001,0.7463414634146341,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,3,T3,"LateFusion(C+F,M)",768,16,0.1,0.8402439024390245,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T0,M,192,64,10.0,0.5957317073170731,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T0,C+M,192,64,0.001,0.7234756097560976,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T0,"LateFusion(C,M)",192,64,0.0001,0.7198170731707317,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T1,M,384,32,1.0,0.5506097560975609,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T1,C+M,384,32,0.0001,0.7067073170731708,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T1,"LateFusion(C,M)",384,32,0.001,0.704268292682927,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T2,M,576,64,10.0,0.6414634146341464,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T2,C+M,576,64,0.0001,0.7277439024390244,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T2,"LateFusion(C,M)",576,64,0.0001,0.7173780487804878,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T3,M,768,64,0.1,0.6155487804878048,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T3,C+M,768,64,0.0001,0.7042682926829269,validation_auroc,smaller_dimension_then_smaller_C,False
full_808,2026,LOCAL0,4,T3,"LateFusion(C,M)",768,64,0.1,0.7045731707317073,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,M,192,8,0.0001,0.6076086956521739,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,C+M,192,8,0.0001,0.7119565217391304,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,C+F+M,192,8,0.0001,0.7173913043478259,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,M_residual,192,8,0.01,0.6434782608695653,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,C+F+M_residual,192,8,0.0001,0.725,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,"LateFusion(C,M)",192,8,0.0001,0.7119565217391304,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T0,"LateFusion(C+F,M)",192,8,0.001,0.7152173913043478,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,M,384,16,10.0,0.48695652173913045,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,C+M,384,16,1.0,0.6510869565217392,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,C+F+M,384,8,100.0,0.7510869565217392,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,M_residual,384,16,10.0,0.5641304347826086,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,C+F+M_residual,384,8,100.0,0.7510869565217392,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,"LateFusion(C,M)",384,16,0.1,0.6739130434782609,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T1,"LateFusion(C+F,M)",384,8,1.0,0.7152173913043478,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T2,M,576,64,1.0,0.5282608695652173,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T2,C+M,576,16,100.0,0.6717391304347826,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T2,C+F+M,576,16,100.0,0.8076086956521739,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T2,M_residual,576,16,10.0,0.6206521739130435,validation_auroc,smaller_dimension_then_smaller_C,False
ftv_complete_375,2026,LOCAL0,4,T2,C+F+M_residual,576,16,100.0,0.808695652173913,validation_auroc,smaller_dimension_then_smaller_C,False
