population,seed,arm,timing,representation,target,n_folds,n,n_positive,n_negative,n_classes,auroc,auprc,balanced_accuracy,brier,class_counts
full_808,3026,LOCAL0,T1,raw,HR,5,808,453.0,355.0,2,0.5246525510679974,0.5780814953002602,0.5261884774430245,0.2849815364194308,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T1,raw,subtype_4class,5,808,,,4,0.5353988292514058,0.27293859106076834,0.27481904186578354,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T2,pca16,HER2,5,808,201.0,607.0,2,0.5839501012237003,0.3343605118758771,0.5301089281762522,0.24711524490602016,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T2,pca16,HR,5,808,453.0,355.0,2,0.5519261262941889,0.5934749299048194,0.5588346858191089,0.25061182133200455,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T2,pca16,subtype_4class,5,808,,,4,0.5467527372741451,0.28744050143672595,0.3081112595872752,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T2,pca32,HER2,5,808,201.0,607.0,2,0.569573876908702,0.32714852984425324,0.5338833017777669,0.24463211545834476,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T2,pca32,HR,5,808,453.0,355.0,2,0.5429966110126543,0.5860613966309272,0.5338743276435656,0.2555783325649152,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T2,pca32,subtype_4class,5,808,,,4,0.5500287694528275,0.28933601713730633,0.32464091541623064,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T2,raw,HER2,5,808,201.0,607.0,2,0.5551648675895645,0.2981980917920666,0.5526936979025794,0.25816439007864456,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T2,raw,HR,5,808,453.0,355.0,2,0.5259459627522308,0.5800959036408438,0.5373068432671082,0.3052641131989918,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T2,raw,subtype_4class,5,808,,,4,0.5339477697352291,0.2742400987431052,0.3078481741701815,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T3,pca16,HER2,5,808,201.0,607.0,2,0.5664265165113477,0.2867854052157699,0.5557222126599294,0.25304810062639804,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T3,pca16,HR,5,808,453.0,355.0,2,0.5444579174828219,0.5998850832928178,0.5208065168050244,0.2528365018071517,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T3,pca16,subtype_4class,5,808,,,4,0.5563617770957672,0.2848526964343182,0.29255368907832713,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T3,pca32,HER2,5,808,201.0,607.0,2,0.5748276738219938,0.29637407059352056,0.5397805043972886,0.2484004270759759,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T3,pca32,HR,5,808,453.0,355.0,2,0.5191990796878402,0.5846602332266106,0.5094891645679819,0.2597812989779663,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T3,pca32,subtype_4class,5,808,,,4,0.5503887966868595,0.2749178395005347,0.29582597881899875,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL0,T3,raw,HER2,5,808,201.0,607.0,2,0.577245567877253,0.3260794308792728,0.5470095978099617,0.24690682127713756,"{""0"":607,""1"":201}"
full_808,3026,LOCAL0,T3,raw,HR,5,808,453.0,355.0,2,0.5362590554363711,0.5897504592056354,0.535668314522899,0.3141800536242279,"{""0"":355,""1"":453}"
full_808,3026,LOCAL0,T3,raw,subtype_4class,5,808,,,4,0.5347377541011291,0.2732143039656587,0.2811657742365239,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T0,pca16,HER2,5,808,201.0,607.0,2,0.5437966674043292,0.29557144158336834,0.4966313408247067,0.24738274933846763,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T0,pca16,HR,5,808,453.0,355.0,2,0.5006933432826539,0.5551115487117737,0.520514255510991,0.256392291408961,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T0,pca16,subtype_4class,5,808,,,4,0.5223106231376452,0.2600789485588799,0.2415947002998889,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T0,pca32,HER2,5,808,201.0,607.0,2,0.5304859557238519,0.28205623945248537,0.5005040694386388,0.25000292144371256,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T0,pca32,HR,5,808,453.0,355.0,2,0.509778316699313,0.5698062759641003,0.5103504026365699,0.2615528483795095,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T0,pca32,subtype_4class,5,808,,,4,0.5087064686828762,0.2618292879071162,0.2372171686389575,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T0,raw,HER2,5,808,201.0,607.0,2,0.5139541173867073,0.2746654103625209,0.49541009942052505,0.2713175528768025,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T0,raw,HR,5,808,453.0,355.0,2,0.5263377172527439,0.5787427957479542,0.5106675372322234,0.2639982527414414,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T0,raw,subtype_4class,5,808,,,4,0.5249304844849374,0.2690723422337956,0.2587912937158175,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T1,pca16,HER2,5,808,201.0,607.0,2,0.5545173637578171,0.29953016558000484,0.5419197259173654,0.2480705774222548,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T1,pca16,HR,5,808,453.0,355.0,2,0.5277741504212915,0.5812498109924209,0.506510586699002,0.2512452099848258,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T1,pca16,subtype_4class,5,808,,,4,0.5342739495669785,0.27481306549246176,0.29492373329306043,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T1,pca32,HER2,5,808,201.0,607.0,2,0.5545419525109215,0.29640579411936596,0.530699058250756,0.24832408866348124,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T1,pca32,HR,5,808,453.0,355.0,2,0.5176631533128128,0.5756359877897594,0.5135404035693187,0.25889227413807275,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T1,pca32,subtype_4class,5,808,,,4,0.5194360586177258,0.26760054437768355,0.27994671713358,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T1,raw,HER2,5,808,201.0,607.0,2,0.5754997664068455,0.31762045633718594,0.5376043997475555,0.2480975578421506,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T1,raw,HR,5,808,453.0,355.0,2,0.5133351988309548,0.5727424427047982,0.5056835494201412,0.3009019986110056,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T1,raw,subtype_4class,5,808,,,4,0.5415357012426045,0.2723850643829709,0.26661386473716575,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T2,pca16,HER2,5,808,201.0,607.0,2,0.5902858032735827,0.33060313025599103,0.5397641118952191,0.24647354748129985,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T2,pca16,HR,5,808,453.0,355.0,2,0.5524982122314461,0.5987649836838047,0.5561794608711874,0.24972523285618012,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T2,pca16,subtype_4class,5,808,,,4,0.5549561908252284,0.2896158702706421,0.29529197871382185,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T2,pca32,HER2,5,808,201.0,607.0,2,0.5643938462547231,0.3034790081156159,0.5556607407771685,0.25120207479261947,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T2,pca32,HR,5,808,453.0,355.0,2,0.5451668065789883,0.5902724188686599,0.5332245126387464,0.2569411386626136,"{""0"":355,""1"":453}"
full_808,3026,LOCAL3,T2,pca32,subtype_4class,5,808,,,4,0.5403640597565991,0.28045812950434956,0.3108413912740963,,"{""HR+/HER2+"":133,""HR+/HER2-"":320,""HR-/HER2+"":68,""HR-/HER2-"":287}"
full_808,3026,LOCAL3,T2,raw,HER2,5,808,201.0,607.0,2,0.561057972083569,0.315049222270965,0.5682460842410682,0.24723036875705331,"{""0"":607,""1"":201}"
full_808,3026,LOCAL3,T2,raw,HR,5,808,453.0,355.0,2,0.5263252806019338,0.5862293839609719,0.5453378105276249,0.33783795410032313,"{""0"":355,""1"":453}"
