seed_base,arm,population,timing,model,n,n_positive,auroc,auprc,brier
3026,F1,full_808,T0,z_R+z_P,808,275,0.527197680368412,0.36685267665883947,0.25015011239955287
3026,F1,full_808,T0-T1,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F1,full_808,T0-T1,C+z_P,808,275,0.6646904315196999,0.48272792935581604,0.23487380547246575
3026,F1,full_808,T0-T1,C+z_R,808,275,0.7022343510148388,0.5436849583911549,0.20314253669329677
3026,F1,full_808,T0-T1,C+z_R+z_P,808,275,0.685328330206379,0.524067737911504,0.21192303588466616
3026,F1,full_808,T0-T1,z_P,808,275,0.5355074194098585,0.3620074738625394,0.2519282803336775
3026,F1,full_808,T0-T1,z_R,808,275,0.5438580931263858,0.3871678978716237,0.2467101172037721
3026,F1,full_808,T0-T1,z_R+z_P,808,275,0.5518130649837967,0.3802471341440603,0.2435290830171673
3026,F1,full_808,T0-T2,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F1,full_808,T0-T2,C+z_P,808,275,0.6746443800102336,0.5017101054600489,0.21775777451302208
3026,F1,full_808,T0-T2,C+z_R,808,275,0.7110967081698789,0.5392168141118326,0.2029789096966527
3026,F1,full_808,T0-T2,C+z_R+z_P,808,275,0.6763704588094832,0.5043615001539602,0.2184340158520498
3026,F1,full_808,T0-T2,z_P,808,275,0.5478969810677128,0.37906099186031444,0.24689437017670773
3026,F1,full_808,T0-T2,z_R,808,275,0.5602251407129456,0.38486521543895047,0.2548792797363062
3026,F1,full_808,T0-T2,z_R+z_P,808,275,0.5710864745011086,0.40197797337576163,0.2621217638173597
3026,F2,ftv_complete_375,T0,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F2,ftv_complete_375,T0,C+F,375,110,0.6805831903945111,0.5101828185046933,0.2254734895410921
3026,F2,ftv_complete_375,T0,C+F+z_P,375,110,0.5854888507718696,0.3610011644605886,0.2761078275956116
3026,F2,ftv_complete_375,T0,C+F+z_R,375,110,0.6715608919382504,0.476695894444002,0.19625964722148698
3026,F2,ftv_complete_375,T0,C+F+z_R+z_P,375,110,0.5947855917667239,0.3822248555514482,0.26154317444857617
3026,F2,ftv_complete_375,T0-T1,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F2,ftv_complete_375,T0-T1,C+F,375,110,0.7471698113207548,0.5944760843663942,0.17065331409768403
3026,F2,ftv_complete_375,T0-T1,C+F+z_P,375,110,0.6328644939965694,0.41448663858457485,0.22375424769515864
3026,F2,ftv_complete_375,T0-T1,C+F+z_R,375,110,0.6444939965694683,0.43918873333110753,0.21838653369361133
3026,F2,ftv_complete_375,T0-T1,C+F+z_R+z_P,375,110,0.6342367066895369,0.4213729440091592,0.2274776768239454
3026,F2,ftv_complete_375,T0-T2,C,375,110,0.6809605488850773,0.5101853814482225,0.22534811414892078
3026,F2,ftv_complete_375,T0-T2,C+F,375,110,0.7652830188679245,0.6189550432272192,0.16661367686352274
3026,F2,ftv_complete_375,T0-T2,C+F+z_P,375,110,0.6519039451114922,0.4122606583176859,0.24885615470063852
3026,F2,ftv_complete_375,T0-T2,C+F+z_R,375,110,0.6686792452830188,0.45013931842026134,0.22424361908950144
3026,F2,ftv_complete_375,T0-T2,C+F+z_R+z_P,375,110,0.6693996569468267,0.4225555657192763,0.23467402646342286
3026,F2,full_808,T0,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F2,full_808,T0,C+z_P,808,275,0.6808800955142419,0.5201016667344803,0.2131005255634606
3026,F2,full_808,T0,C+z_R,808,275,0.7082244584683609,0.5546685054841022,0.20034566640823362
3026,F2,full_808,T0,C+z_R+z_P,808,275,0.6811666382398089,0.5315174489964747,0.21209598321201006
3026,F2,full_808,T0,z_P,808,275,0.5012587412587413,0.33920958758640873,0.24840070203959935
3026,F2,full_808,T0,z_R,808,275,0.5249053385638751,0.3658948753894321,0.24888350624757927
3026,F2,full_808,T0,z_R+z_P,808,275,0.5126590482688044,0.36046894797335094,0.2584016825542413
3026,F2,full_808,T0-T1,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F2,full_808,T0-T1,C+z_P,808,275,0.6599897663312297,0.4900029538868013,0.2208402474407274
3026,F2,full_808,T0-T1,C+z_R,808,275,0.6995804195804196,0.5460191081789723,0.20389343435878843
3026,F2,full_808,T0-T1,C+z_R+z_P,808,275,0.6642947296605832,0.5000659654525843,0.21869835075628377
3026,F2,full_808,T0-T1,z_P,808,275,0.5189834555688214,0.3546670280767786,0.25340757053134066
3026,F2,full_808,T0-T1,z_R,808,275,0.5450724884871225,0.38008775575091147,0.24785207503200563
3026,F2,full_808,T0-T1,z_R+z_P,808,275,0.538229575302746,0.37623326465936846,0.2536815336635527
3026,F2,full_808,T0-T2,C,808,275,0.6818181818181819,0.5401587218196344,0.22572615514752253
3026,F2,full_808,T0-T2,C+z_P,808,275,0.6690022172949002,0.5022816208034317,0.21602630842943718
3026,F2,full_808,T0-T2,C+z_R,808,275,0.7055841719256353,0.530175598490052,0.2051916735128265
3026,F2,full_808,T0-T2,C+z_R+z_P,808,275,0.6711103530615726,0.5007004763004861,0.22541070821706813
3026,F2,full_808,T0-T2,z_P,808,275,0.5312365683097391,0.3744126548313967,0.2687311006164397
3026,F2,full_808,T0-T2,z_R,808,275,0.5537438171584512,0.37610570985706415,0.2475402919185569
3026,F2,full_808,T0-T2,z_R+z_P,808,275,0.5405764966740577,0.3781810653615944,0.2627645461343618
