arm,seed_base,fold,state,dimension,variance,std,pcr_labels_used
F2,2026,2,z_R,10,0.36583135503050224,0.6048399416626702,False
F2,2026,2,z_R,11,2.3204347885015335,1.5232973408043269,False
F2,2026,2,z_R,12,0.09890104495088052,0.31448536524118337,False
F2,2026,2,z_R,13,0.4568847395076359,0.675932496265445,False
F2,2026,2,z_R,14,2.2234792618208226,1.4911335492908817,False
F2,2026,2,z_R,15,0.39842747930909195,0.6312111210277366,False
F2,2026,2,z_R,16,0.6779619827419322,0.8233844683633109,False
F2,2026,2,z_R,17,0.5996604863785973,0.7743774831298992,False
F2,2026,2,z_R,18,0.23677021382420682,0.48659039635427126,False
F2,2026,2,z_R,19,0.5088063508513234,0.71330663171691,False
F2,2026,2,z_R,20,1.7509258046680694,1.3232255305381881,False
F2,2026,2,z_R,21,0.304626551702229,0.5519298430980418,False
F2,2026,2,z_R,22,0.9355790673717496,0.9672533625538603,False
F2,2026,2,z_R,23,0.7522642431312634,0.867331679999793,False
F2,2026,2,z_R,24,0.7792879337746164,0.8827728664694087,False
F2,2026,2,z_R,25,0.6280410805038114,0.7924904292821532,False
F2,2026,2,z_R,26,1.5199448036182526,1.232860415301851,False
F2,2026,2,z_R,27,0.40602665121332887,0.6372022059074567,False
F2,2026,2,z_R,28,0.5036027739336955,0.7096497544096633,False
F2,2026,2,z_R,29,1.3123446923979376,1.1455761399391737,False
F2,2026,2,z_R,30,0.41326432836953897,0.6428563823822074,False
F2,2026,2,z_R,31,0.48401415494742234,0.6957112583158492,False
F2,2026,2,z_R,32,0.5625560070816173,0.7500373371250376,False
F2,2026,2,z_R,33,0.24469519815368326,0.4946667546476954,False
F2,2026,2,z_R,34,0.29340269688703086,0.5416665919982797,False
F2,2026,2,z_R,35,1.0915087901967164,1.0447529804679747,False
F2,2026,2,z_R,36,0.4561896868284204,0.6754181570171329,False
F2,2026,2,z_R,37,0.18321256477808656,0.42803336876707004,False
F2,2026,2,z_R,38,0.16818621531381803,0.4101051271489032,False
F2,2026,2,z_R,39,0.860763262716354,0.9277732819586658,False
F2,2026,2,z_R,40,0.2402973064043608,0.4902012917204123,False
F2,2026,2,z_R,41,0.4936819634419821,0.7026250518178113,False
F2,2026,2,z_R,42,0.37601903790432495,0.6132039121730429,False
F2,2026,2,z_R,43,0.7445788803888076,0.8628898425574423,False
F2,2026,2,z_R,44,1.291565707628883,1.136470724492665,False
F2,2026,2,z_R,45,0.280949370890348,0.5300465742652696,False
F2,2026,2,z_R,46,1.039993612594343,1.0198007710304708,False
F2,2026,2,z_R,47,0.9082835817324544,0.9530391291717536,False
F2,2026,2,z_R,48,0.8766112251842026,0.9362751866754788,False
F2,2026,2,z_R,49,0.6205543347982435,0.7877527117047859,False
F2,2026,2,z_R,50,2.252942676692994,1.5009805717240294,False
F2,2026,2,z_R,51,0.7899627321529975,0.8887984766824241,False
F2,2026,2,z_R,52,1.398325357404505,1.1825080792132057,False
F2,2026,2,z_R,53,0.6002598272961742,0.7747643688865501,False
F2,2026,2,z_R,54,2.081563328535771,1.4427623950379949,False
F2,2026,2,z_R,55,0.25005258668328995,0.5000525839182215,False
F2,2026,2,z_R,56,0.6514079728347195,0.8070984901700161,False
F2,2026,2,z_R,57,0.8128164381372469,0.901563330075734,False
F2,2026,2,z_R,58,0.18478295631456826,0.4298638811467745,False
F2,2026,2,z_R,59,0.20242034590804167,0.44991148674827325,False
F2,2026,2,z_R,60,0.3115941793523601,0.5582062157951666,False
F2,2026,2,z_R,61,0.21258119921430396,0.4610652873664466,False
F2,2026,2,z_R,62,1.8445577671612465,1.3581449728071178,False
F2,2026,2,z_R,63,2.0146343280552386,1.419378148364712,False
F2,2026,2,z_R,64,0.3001230424230968,0.547834867841667,False
F2,2026,2,z_R,65,0.1654290499175026,0.40672970129743735,False
F2,2026,2,z_R,66,1.0039776399108162,1.0019868461765435,False
F2,2026,2,z_R,67,1.0544616071559227,1.02686981022714,False
F2,2026,2,z_R,68,1.257557886099781,1.1214088844394718,False
F2,2026,2,z_R,69,0.5692377542374456,0.7544784650587752,False
F2,2026,2,z_R,70,1.0882165268620967,1.0431761724953732,False
F2,2026,2,z_R,71,0.16844915606338626,0.41042557920210854,False
F2,2026,2,z_R,72,0.14767986138392047,0.3842913756304199,False
F2,2026,2,z_R,73,2.2070387503247675,1.4856105648267204,False
F2,2026,2,z_R,74,0.636778461234461,0.7979839981067672,False
F2,2026,2,z_R,75,0.8233182402183775,0.9073688556581483,False
F2,2026,2,z_R,76,0.7500633508868758,0.8660619786636957,False
F2,2026,2,z_R,77,0.5084615477709334,0.7130648973066431,False
