schema_version,seed_base,fold,effective_seed,base_gate,base_degradation,split,group,parameter_tensors,parameter_count,selected_epoch,last_epoch,selected_checkpoint_sha256,last_checkpoint_sha256,last_minus_selected_gradient_cosine,last_minus_selected_gradient_cosine_mean,last_minus_selected_negative_fraction,last_minus_selected_strong_negative_fraction,last_minus_selected_very_strong_negative_fraction,last_minus_selected_weighted_gradient_norm_ratio,last_minus_selected_weighted_gradient_norm_ratio_mean,last_minus_selected_base_descent_margin,last_minus_selected_base_descent_margin_mean,last_minus_selected_base_descent_failure_fraction,last_minus_selected_ftv_descent_margin,last_minus_selected_ftv_descent_margin_mean,selected_n_batches,last_n_batches,selected_n_undefined,last_n_undefined,source_contract_sha256,public_manifest_sha256,contains_patient_ids
1,4026,0,4026,PASS,0.0497572558014174,train,encoder_stage_1,7,10112,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.4608625509984813,-0.3152302864782094,0.0,0.0,0.0,-0.0684468475953774,-0.11377125937989796,-0.06944865987437421,-0.07421613907513946,0.0,-0.5207364777010115,-5.2751475549376385,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,train,encoder_stage_2,7,42112,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.5095436075866612,-0.3296497317927342,0.125,0.0,0.0,-0.0618000984526621,-0.10023248777330544,-0.057192534109556714,-0.044969455677220216,0.0,-2.255943538248745,-7.841488655068611,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,train,encoder_stage_3,7,168192,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.28321811787333007,-0.1731133347266389,0.125,0.0,-0.125,-0.11169376435672912,-0.10650249757975606,-0.04172597610144457,-0.01601451441685353,0.0,-0.8284381458069734,-4.491296154666594,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,train,encoder_stage_4,7,672256,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.0759287765972675,-0.07993434442175107,0.0,0.0,0.0,-0.11778819609620611,-0.1798790842915709,-0.022419090474319336,-0.017994112495201664,0.0,-0.0651769749500648,-1.2918692109858274,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,train,response_projection,4,25152,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.0003172954231629478,-0.01774790491435592,0.0,0.0,0.0,-0.03875129412362044,-0.1397460118108657,-0.002641836663364927,-0.0056071734626561565,0.0,0.0417551818052071,-0.311908589098953,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,validation,all_shared,32,917824,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.2808750386310568,-0.16967223228779127,0.0,0.125,0.0,-0.01459278004663555,-0.022257015996423865,-0.011764961856151723,-0.00996692792639009,0.0,-3.8759709573394217,-3.920141327934757,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,validation,encoder_overall,28,892672,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.30485518189395555,-0.18042997051454646,0.0,0.125,0.0,-0.013392232753398597,-0.020009272521209986,-0.01174381432784033,-0.009978126981843083,0.0,-4.350509620386996,-4.500832681902235,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,validation,encoder_stage_1,7,10112,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.41591031752518154,-0.3309497621305863,0.125,0.125,0.125,-0.00900239225015045,-0.014470033900809531,-0.014653537712244091,-0.014630578881265954,0.0,-0.2902265279824654,-7.25589117984649,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,validation,encoder_stage_2,7,42112,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.4078070817174347,-0.20091334778038705,0.0,-0.125,0.0,-0.005127120859515548,-0.006688170588376362,-0.009259786464263842,-0.0059319478515442725,0.0,-6.2534579367895,-8.926364037305362,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
1,4026,0,4026,PASS,0.0497572558014174,validation,encoder_stage_3,7,168192,3,7,059c924a192eab6f50820f2989f802719b50a5a8129bc46d2639fe440c78215b,6bdcf06413bb283a6033e45b61087f50b98f5a693eb14bae3e6e63ba283154e9,-0.06075030587648679,-0.030081381941358273,0.0,-0.125,0.0,-0.014311492149939403,-0.01801687955080139,-0.005774467279108686,-0.0015817695665976128,0.0,0.1858706970322972,-0.5661247005119874,8,8,0,0,36166871cf24803cb6d13774a0e74515c1692c7849f5d725e98829284e4bb486,f546d0b153da0143074eb178238a891d0d8d392196329560c3f64d76e2f148fa,False
