scope,selection_scope,fold,feature,transition,n,median_delta,iqr_delta,median_abs_delta,robust_scale_start_visit_iqr,median_standardized_abs_change,proportion_delta_positive,proportion_delta_negative,proportion_near_zero,near_zero_definition,mean_within_patient_variance,pooled_total_variance,within_to_total_variance_ratio,between_patient_variance_fraction
all_workbook_descriptive,False,-1,BPE,T1→T2,384,-1.899449999999999,9.02765,4.349349999999999,15.062499999999996,0.28875352697095436,0.3541666666666667,0.6328125,0.013020833333333334,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",68.82303678609162,191.38217685459108,0.35961048158827347,0.6403895184117265
all_workbook_descriptive,False,-1,BPE,T2→T3,384,-1.1605550000000013,7.644864999999999,4.063795,11.423099999999996,0.3557523789514231,0.4036458333333333,0.5807291666666666,0.015625,"abs(Δ) <= max(1e-8, 0.01 × all-workbook/start-visit IQR)",68.82303678609162,191.38217685459108,0.35961048158827347,0.6403895184117265
fold_train,True,0,FTV,T0→T1,247,-5.9140581,11.692600100000002,7.306768000000002,20.166518699999997,0.3623217328035901,0.11740890688259109,0.8704453441295547,0.012145748987854251,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",405.32163999028984,1025.484686720142,0.39524884694928986,0.6047511530507101
fold_train,True,0,FTV,T1→T2,247,-4.1765626000000005,9.108015575,4.45921875,13.768144249999999,0.32387943277105047,0.06072874493927125,0.9149797570850202,0.024291497975708502,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",405.32163999028984,1025.484686720142,0.39524884694928986,0.6047511530507101
fold_train,True,0,FTV,T2→T3,247,-0.9156006000000001,2.6728247720000002,1.1820312499999999,4.72583614,0.25012108227688146,0.15384615384615385,0.7732793522267206,0.0728744939271255,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",405.32163999028984,1025.484686720142,0.39524884694928986,0.6047511530507101
fold_train,True,0,LD,T0→T1,247,-0.5,1.0000000000000004,0.5999999999999996,2.35,0.25531914893617,0.14979757085020243,0.7206477732793523,0.12955465587044535,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.435123987854251,5.635531017964563,0.43210195811037655,0.5678980418896235
fold_train,True,0,LD,T1→T2,247,-0.9000000000000004,1.6,1.0,2.3,0.4347826086956522,0.11740890688259109,0.8340080971659919,0.048582995951417005,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.435123987854251,5.635531017964563,0.43210195811037655,0.5678980418896235
fold_train,True,0,LD,T2→T3,247,-0.40000000000000013,1.5,0.6000000000000001,2.3,0.26086956521739135,0.10121457489878542,0.6720647773279352,0.22672064777327935,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",2.435123987854251,5.635531017964563,0.43210195811037655,0.5678980418896235
fold_train,True,0,SPH,T0→T1,247,-0.004877970000000009,0.0722033645,0.035891580000000006,0.13338359500000002,0.2690854148892898,0.4574898785425101,0.5303643724696356,0.012145748987854251,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.005727872745732321,0.01362771971242504,0.4203104309894154,0.5796895690105845
fold_train,True,0,SPH,T1→T2,247,0.022744810000000004,0.1010385915,0.0503054,0.11918337499999998,0.42208403646901266,0.6477732793522267,0.31983805668016196,0.032388663967611336,"abs(Δ) <= max(1e-8, 0.01 × train/start-visit IQR)",0.005727872745732321,0.01362771971242504,0.4203104309894154,0.5796895690105845
