population,seed,arm,timing,model_family,n,n_positive,n_negative,auroc,auprc,brier,calibration_slope,ece10,supplementary
full_808,2026,B3,T0_T2,C+M,808,275,533,0.6640491216100972,0.5072366554542842,0.22265256900890687,0.6859385941060532,0.09697970180252634,False
full_808,2026,B3,T0_T2,M,808,275,533,0.533030871567457,0.3725927469810928,0.24139775621217754,0.13672935831568567,0.11683356918020947,False
full_808,2026,B3,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,2026,B3,T0_T3,C+M,808,275,533,0.668763431690261,0.5070961552697113,0.22353512161994615,0.7756701362358136,0.10454349310780621,True
full_808,2026,B3,T0_T3,M,808,275,533,0.5511512877366536,0.39198687910561136,0.24359006416342774,0.30350240891457253,0.14134002711240454,True
full_808,3026,B0,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B0,T0,C+M,808,275,533,0.6737165273750638,0.5132356060822776,0.21796823157981565,0.9502554236897413,0.10491960404126162,False
full_808,3026,B0,T0,M,808,275,533,0.5459525840013645,0.3932378321425576,0.23549827044758556,0.26268699898756415,0.10180560270077589,False
full_808,3026,B0,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B0,T0_T1,C+M,808,275,533,0.6661231451475353,0.5030231528290307,0.22523810211334927,0.5688953277847277,0.10245660394716252,False
full_808,3026,B0,T0_T1,M,808,275,533,0.5597543919495139,0.3901395436971504,0.22712802531687196,0.3792863528727024,0.056758129193380816,False
full_808,3026,B0,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B0,T0_T2,C+M,808,275,533,0.6897151628858946,0.5518617739490582,0.21929797747006544,0.9387591475914504,0.12162604468583933,False
full_808,3026,B0,T0_T2,M,808,275,533,0.5276820740235375,0.37365056326594803,0.23816219108607378,0.1731087682322273,0.11584685802856531,False
full_808,3026,B0,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,3026,B0,T0_T3,C+M,808,275,533,0.6930854511342316,0.5563206122371327,0.21911817703751257,1.233825122093465,0.1289498570546514,True
full_808,3026,B0,T0_T3,M,808,275,533,0.5679617943032577,0.3967099705076711,0.24063692795745875,0.2465321379744863,0.12209028645839051,True
full_808,3026,B1,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B1,T0,C+M,808,275,533,0.6751219512195122,0.5168021212981767,0.23005409700234228,1.0155400722246513,0.1431844659780356,False
full_808,3026,B1,T0,M,808,275,533,0.5494456762749446,0.4045706441951954,0.23648125322485794,0.38092664931697906,0.10717814477707299,False
full_808,3026,B1,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B1,T0_T1,C+M,808,275,533,0.6585911649326284,0.5052372932062583,0.22394019883019356,0.5588677589557894,0.10862048726204661,False
full_808,3026,B1,T0_T1,M,808,275,533,0.5531980214907044,0.37679759843931837,0.24132916799828444,0.19080333974027444,0.09753780898324073,False
full_808,3026,B1,T0_T2,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B1,T0_T2,C+M,808,275,533,0.6822582295753027,0.5506048233638687,0.22546584089283966,1.510171892748727,0.14112808720093217,False
full_808,3026,B1,T0_T2,M,808,275,533,0.5450042640286543,0.385782534576004,0.24089953107776285,0.3199861461021706,0.13013321659024005,False
full_808,3026,B1,T0_T3,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,True
full_808,3026,B1,T0_T3,C+M,808,275,533,0.6798908408664507,0.5414050795658443,0.22215431191536797,0.590502004711139,0.12833921280902966,True
full_808,3026,B1,T0_T3,M,808,275,533,0.5612212178065836,0.38821060596079304,0.2294427959156865,0.39050670172504726,0.06806344231579993,True
full_808,3026,B2,T0,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B2,T0,C+M,808,275,533,0.6652566945249871,0.5104211945875378,0.21854342989259995,0.8023887399942412,0.09522241661196616,False
full_808,3026,B2,T0,M,808,275,533,0.5536892375916765,0.41256220527452664,0.2410966306718346,0.1889416257477678,0.13104764126738894,False
full_808,3026,B2,T0_T1,C,808,275,533,0.6796145318096538,0.5424197284072237,0.2258384791318524,0.7428870600177763,0.13013890017655336,False
full_808,3026,B2,T0_T1,C+M,808,275,533,0.6675217465461368,0.5074635215554424,0.22326455429217731,0.7133468358327886,0.11275403392657335,False
